"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"A Boogie Wit Da Hoodie Goes Sneaker Shopping With Complex","Complex",24,"Entertainment",1811724,47975,988,4582,21,1
"The Shining Twins talk Kubrick, Nicholson & remakes!","Jamie Stangroom",24,"Entertainment",13258,144,3,28,21,1
"LIVE Q & A with Birdie, Brie and Winston | Brie confirms her WWE return in 2018 and baby #2!","The Bella Twins",22,"People & Blogs",113357,5879,65,669,21,1
"Fall Makeup Tutorial ft. PatrickStarrr | Ashley Tisdale","Ashley Tisdale",26,"Howto & Style",180338,12294,96,634,21,1
"HATERS BACK OFF PANTS COOKIES - NERDY NUMMIES","Rosanna Pansino",26,"Howto & Style",426699,19224,269,4126,21,1
"Crane Removal - Timelapse","Denyer Pro Photography & Retouching",26,"Howto & Style",94666,505,77,90,21,1
"How Jonathan Groff Got The Lead On Netflix's  Mindhunter","BUILD Series",24,"Entertainment",4747,79,1,2,21,1
"Logan Paul - Outta My Hair [Official Music Video]","Logan Paul Vlogs",24,"Entertainment",16919441,1050920,102569,140553,21,1
"I Bought A $500 'LUXURY' Mystery Box from Ebay- OMG WHY","grav3yardgirl",26,"Howto & Style",1392410,38412,2453,6052,21,1
"Bailey Bryan - Too Good [Official Cover]","Bailey Bryan",10,"Music",2280,105,3,9,21,1
"John Oliver - Harvey Weinstein","consumer",23,"Comedy",1187418,8506,1265,1758,21,1
"Chris Hemsworth and Mark Ruffalo Australian Interview - Secret Plot Twist Revealed?  (2017)","WalrusRider",24,"Entertainment",240827,369,67,100,21,1
"EXCITED Dogs in Car Can't Stop Howling For The Park | The Dodo","The Dodo",15,"Pets & Animals",98033,3009,60,229,21,1
"Equifax: Last Week Tonight with John Oliver (HBO)","LastWeekTonight",24,"Entertainment",3908666,73034,2725,5942,21,1
"Storm Ophelia makes landfall in Ireland","Guardian Wires",25,"News & Politics",392775,935,167,344,21,1
"Draymond Green: I don't know how serious the Rockets take defense","NBA Highlights · YouTube",17,"Sports",99847,217,181,257,21,1
"Jordan​ and​ ​Lindsay’s - Foxtrot - Dancing with the Stars","Dancing With The Stars",24,"Entertainment",356372,5489,118,366,21,1
"Blake Lively - Talks About Harvey Weinstein - GMA","CelebNews17",24,"Entertainment",614883,1944,693,699,21,1
"John McCain Liberty Medal speech -","Tony's - 24/7 Eyes",24,"Entertainment",36219,491,304,358,21,1
"Latinos React To The Selena Google Doodle","Pero Like",22,"People & Blogs",198822,11066,98,585,21,1
"VINTAGE SHOPPING FOR THE FIRST TIME! (a mess lol)","Amber Scholl",26,"Howto & Style",497552,21427,773,2376,21,1
"28 Things I'd Tell My Younger Self! Life Lessons | Ingrid Nilsen","Ingrid Nilsen",26,"Howto & Style",108390,8308,106,807,21,1
"Pixel 2 Classic Unboxing","Linus Tech Tips",28,"Science & Technology",473651,17953,787,1520,21,1
"Katy Perry - Making Of “Swish Swish” Music Video ft. Nicki Minaj","KatyPerryVEVO",10,"Music",1799229,65168,3273,3577,21,1
"$3 Ramen Vs. $79 Ramen • Japan","BuzzFeedVideo",22,"People & Blogs",7507261,169333,5801,15570,21,1
"How Video Games are Turning into Movies","Cracked",23,"Comedy",272866,6343,742,794,21,1
"What the Bannon vs. McConnell fight means for Trump and the GOP","PBS NewsHour",25,"News & Politics",38963,304,91,0,21,1
"How Do MASSIVE Sinkholes Form?","Life Noggin",27,"Education",433882,14224,389,1521,21,1
"Brad Paisley - Heaven South","BRADPAISLEYVEVO",10,"Music",144857,2330,69,136,21,1
"First cosmic event seen in gravitational waves and light!","National Science Foundation",28,"Science & Technology",141655,1542,56,0,21,1
"Pumpkin Spice Oreo Taste Test!","iJustine",22,"People & Blogs",160909,6582,381,1598,21,1
"Trump slams Clinton for defending NFL anthem protests","Business Insider",25,"News & Politics",55562,1263,759,1876,21,1
"Tré Melvin @ #YouTubeBlack FanFest Washington D.C. 2017","YouTube FanFest",24,"Entertainment",23680,2127,75,0,21,1
