"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!","Logan Paul Vlogs",24,"Entertainment",4394029,320053,5931,46245,13,9
"iPhone X — Introducing iPhone X — Apple","Apple",28,"Science & Technology",7860119,185853,26679,0,13,9
"My Response","PewDiePie",22,"People & Blogs",5845909,576597,39774,170708,13,9
"Apple iPhone X first look","The Verge",28,"Science & Technology",2642103,24975,4542,12829,13,9
"iPhone X (parody)","jacksfilms",23,"Comedy",1168130,96666,568,6666,13,9
"The Disaster Artist | Official Trailer HD | A24","A24",1,"Film & Animation",1311445,34507,544,3040,13,9
"The Check In: HUD, Ben Carson and Hurricanes","Late Night with Seth Meyers",23,"Comedy",666169,9985,297,1071,13,9
"iPhone X Impressions & Hands On!","Marques Brownlee",28,"Science & Technology",1728614,74062,2180,15297,13,9
"ATTACKED BY A POLICE DOG!!","RomanAtwoodVlogs",22,"People & Blogs",1338533,69687,678,5643,13,9
"Honest Trailers - The Mummy (2017)","Screen Junkies",1,"Film & Animation",1056891,29943,878,4046,13,9
"Honest College Tour","CollegeHumor",23,"Comedy",859289,34485,726,1914,13,9
"Best Floyd Mayweather Interview | Awkward Puppets","Awkward Puppets",23,"Comedy",452477,28050,405,2745,13,9
"Jennifer Lawrence Challenges Jimmy to an Axe Throwing Contest","The Tonight Show Starring Jimmy Fallon",23,"Comedy",258781,8085,303,726,13,9
"Hand In Hand A Benefit For Hurricane Relief | MTV","MTV",24,"Entertainment",274358,9215,477,838,13,9
"Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017","America's Got Talent",24,"Entertainment",473691,14740,415,1696,13,9
"iPhone X Hands on - Everything you need to know","Jonathan Morrison",28,"Science & Technology",514972,18936,641,3817,13,9
"What Do You Want to Eat?!","Wong Fu Productions",24,"Entertainment",282858,14870,300,1398,13,9
"getting into a conversation in a language you don't actually speak that well","ProZD",1,"Film & Animation",1582683,65749,1531,3598,13,9
"Juicy Chicken Breast - You Suck at Cooking (episode 65)","You Suck At Cooking",26,"Howto & Style",479951,23945,640,1941,13,9
"Downsizing (2017) - Official Trailer - Paramount Pictures","Paramount Pictures",1,"Film & Animation",2693468,7941,302,1432,13,9
"Fergie - You Already Know ft. Nicki Minaj","FergieVEVO",10,"Music",815608,66420,3578,5550,13,9
"Hurricane Irma death toll rises to 10 in Cuba","Al Jazeera English",25,"News & Politics",382525,1521,270,1168,13,9
"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ","TMZ",24,"Entertainment",703750,2921,2196,1042,13,9
"SUPERFRUIT REACTS TO TEENS REACT TO SUPERFRUIT","SUPERFRUIT",24,"Entertainment",255967,21817,293,2017,13,9
"Kid Rock - Tennessee Mountain Top [Lyrics]","Kid Rock",10,"Music",96872,3498,482,439,13,9
"Chargers vs. Broncos | NFL Week 1 Game Highlights","NFL",17,"Sports",743947,6126,352,2438,13,9
"Nerf Bow Trick Shots | Dude Perfect","Dude Perfect",17,"Sports",10535242,384920,7550,23855,13,9
"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild","First We Feast",26,"Howto & Style",483360,16258,245,1588,13,9
"Joe Arpaio: Last Week Tonight with John Oliver (HBO)","LastWeekTonight",24,"Entertainment",3298456,65730,4360,9504,13,9
"What's In This 90s Mystery Caboodle?","grav3yardgirl",26,"Howto & Style",321297,15424,280,3317,13,9
"Radiohead - Lift","Radiohead",10,"Music",752844,42290,359,3250,13,9
"What's Actually the Plane of the Future","Wendover Productions",27,"Education",602127,19575,658,2510,13,9
"Blind People Describe Beauty","WatchCut Video",24,"Entertainment",136643,6218,127,524,13,9
"What Hillary Clinton really thinks","Vox",25,"News & Politics",244433,9143,6826,4838,13,9
"Drowning for Power - Rooster Teeth Animated Adventures","Rooster Teeth",1,"Film & Animation",917643,25456,731,1073,13,9
"Jumping Through Impossible Shapes!","Rclbeauty101",24,"Entertainment",796896,39791,1252,3868,13,9
"Does Maggie Gyllenhaal Have Taylor Swift’s Scarf? | WWHL","Watch What Happens Live with Andy Cohen",24,"Entertainment",2932,71,3,15,13,9
"From the air, Irma's catastrophic wrath is undeniable","USA TODAY",25,"News & Politics",224532,490,772,597,13,9
"FALL MAKEUP TUTORIAL | Talk  Through Tutorial | Casey Holmes","Casey Holmes",26,"Howto & Style",246389,15314,247,1842,13,9
"The Commuter Teaser Trailer #1 (2018) | Movieclips Trailers","Movieclips Trailers",1,"Film & Animation",165647,3712,142,524,13,9
"The Problem With Our Phones","The School of Life",27,"Education",162818,9531,416,1079,13,9
"LANY - Super Far (Official Video)","LANYVEVO",10,"Music",163656,19183,137,2154,13,9
"Gwyneth Paltrow Crashes James' Goop Magazine Rant","The Late Late Show with James Corden",24,"Entertainment",220661,2070,449,352,13,9
"FAIL.. + *New* ESTEE LAUDER DOUBLE WEAR NUDE {First Impression Review & Demo!} 15 DAYS OF FOUNDATION","thataylaa",26,"Howto & Style",142039,9889,130,1224,13,9
"IM GONNA BE A FATHER (Things Got Awkward)","Wil Dasovich",22,"People & Blogs",807779,26521,522,5996,13,9
"Fenty Beauty Pro Filt'r Foundation Review|| Nyma Tang #thedarkestshade","Nyma Tang",26,"Howto & Style",1936893,74587,1060,6558,13,9
"Jimmy Kimmel Talks to Kristen Bell in Orlando After Hurricane Irma","Jimmy Kimmel Live",23,"Comedy",279903,4389,138,338,13,9
"Hurricane Jose 5 a.m. advisory","WPTV News | West Palm Beach Florida",25,"News & Politics",262875,1069,183,0,13,9
"THIS MADE MY DAD CRY! | Story of my Comeback Competition","Nile Wilson",17,"Sports",185541,12179,115,827,13,9
"GOLD DIVA MACARONS- The Scran Line","The Scran Line",26,"Howto & Style",27794,1692,34,174,13,9
"CHOCOLATE CHIP COOKIE CUPCAKES - NERDY NUMMIES","Rosanna Pansino",26,"Howto & Style",315347,19538,204,3172,13,9
"Apple Watch Series 3 hands-on live from Apple Event 2017","Engadget",28,"Science & Technology",46622,345,47,149,13,9
"Last Week Tonight with John Oliver S04E23 - Sep 10, 2017","DeathByPixel",2,"Cars & Vehicles",668027,3553,1629,889,13,9
"Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge","BBCRadio1VEVO",10,"Music",1026622,61409,967,4097,13,9
"Real Clowns Creepier than Pennywise from IT","Good Mythical Morning",23,"Comedy",1862110,38823,1999,6229,13,9
"Here's what happens when two hurricanes collide","Tech Insider",28,"Science & Technology",148998,2123,101,435,13,9
"Season 21 Preview: White People Renovating Houses","South Park Studios",20,"Gaming",182676,3752,165,1163,13,9
"After Hours: 6 Movies Whose Timelines Don't Add Up","Cracked",23,"Comedy",379817,14096,323,1338,13,9
"Don Lemon Praises ‘Chunky’ CNN Reporter Facing Irma Wrath: ‘Nothing Wrong With a Little Curve’","NN",22,"People & Blogs",103807,119,23,67,13,9
"kirstin - Bad Weather (Official Video)","kirstinVEVO",10,"Music",44621,4165,121,537,13,9
"Jim Carrey's Bizarre Fashion Week Interview | Daily Pop | E! News","E! News",24,"Entertainment",48688,141,226,256,13,9
"BLIND TASTE TEST // Grace Helbig","Grace Helbig",22,"People & Blogs",141532,9467,55,956,13,9
"Surveying Hurricane Irma's Damage in Southwest Florida","The New York Times",25,"News & Politics",7740,70,1,7,13,9
"Day at the Beach - Mayor Steve Fulop","Steve Fulop",25,"News & Politics",16059,139,9,12,13,9
"$3 Seafood Vs. $213 Seafood • Australia","BuzzFeedVideo",22,"People & Blogs",4618045,104899,2180,11355,13,9
"Fifty Shades Freed - Teaser [HD]","Fifty Shades",24,"Entertainment",4661584,17517,2543,2157,13,9
"QB turned Psychic? Tony Romo Predicts Future","Enter Name Here",17,"Sports",320880,3858,104,675,13,9
"iPhone X walkthrough: Animoji, Face ID, Portrait Mode Lighting effects, more","SlashGear",2,"Cars & Vehicles",94123,520,34,96,13,9
"How to photograph INCREDIBLE ARCHITECTURE!","Peter McKinnon",22,"People & Blogs",134994,13901,69,1087,13,9
"Tommy Wiseau On Why James Franco Was Perfect For 'The Disaster Artist' | Los Angeles Times","Los Angeles Times",25,"News & Politics",135280,2032,17,368,13,9
"How Kanye West’s ‘Graduation’ Changed Music | Genius News","Genius",10,"Music",229235,9746,292,1119,13,9
"iPhone X hands on","TechCrunch",28,"Science & Technology",14577,160,19,51,13,9
"Tying a Shoe","Buttered Side Down",23,"Comedy",14706,1619,33,201,13,9
"BIG ANNOUNCEMENT ON MY POPSCICLE","Miranda Sings",23,"Comedy",543283,33686,931,14935,13,9
"Things you need to know about Pennywise","Jenny Nicholson",1,"Film & Animation",39338,2377,103,484,13,9
"Obsessed With Netflix","Gus Johnson",23,"Comedy",62884,6003,72,364,13,9
"Game Revealed: Season 7 Episode 3: A Goodbye Kiss","GameofThrones",1,"Film & Animation",196016,5080,56,434,13,9
"Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet","E! Live from the Red Carpet",24,"Entertainment",2526119,17110,677,5311,13,9
"更なるフィット感を追求するねこ。-Maru wishes for more fitting feeling.-","mugumogu",15,"Pets & Animals",43199,3263,7,294,13,9
"Storm Chaser Battles Hurricane Irma’s Powerful Winds | NBC News","NBC News",25,"News & Politics",1157495,15333,990,4641,13,9
"Willow's Birthday","Johns Hopkins All Children's Hospital",29,"Nonprofits & Activism",42734,0,0,0,13,9
"iPhone 8 Hands-On: Don't Overlook This Big Update","Tom’s Guide",28,"Science & Technology",16653,83,10,27,13,9
"Essential Phone Drop Test - TITANIUM and CERAMIC vs. GRAVITY!","JerryRigEverything",26,"Howto & Style",416462,20164,297,2597,13,9
"Drone captures aftermath of Hurricane Irma in Naples, Florida","CBS News",25,"News & Politics",470206,942,137,582,13,9
"Hurricane Size Comparison","Reigarw Comparisons",28,"Science & Technology",2604761,28651,2256,6878,13,9
"Can You Assume Sexuality Based on a First Impression? | Tell My Story","SoulPancake",24,"Entertainment",332176,14279,626,1927,13,9
"LIVE TRACKING OF HURRICANE IRMA","ABC Action News",24,"Entertainment",7189818,26771,3925,123,13,9
"How Computers Compress Text: Huffman Coding and Huffman Trees","Tom Scott",27,"Education",330895,18023,112,1017,13,9
"The Constitution of the Spartans","Historia Civilis",27,"Education",230701,11767,184,1519,13,9
"Hillary Clinton speaks","CBS Sunday Morning",25,"News & Politics",358661,3498,24056,6420,13,9
"Wolf Alice - Beautifully Unconventional","WolfAliceVEVO",10,"Music",101248,4679,93,331,13,9
"Larry's Back & Nothing Has Changed | Curb Your Enthusiasm Season 9 Trailer #2 (2017) | HBO","HBO",1,"Film & Animation",498183,6300,112,789,13,9
"Casually Explained: Is She Into You II - What's the worst that could happen?","Casually Explained",23,"Comedy",1462030,74679,1502,3881,13,9
"10 EASY MAGIC TRICKS ANYONE CAN DO","#Mind Warehouse",27,"Education",4774911,32276,12757,4103,13,9
"I Bought An Entire Outfit Blindfolded","Safiya Nygaard",22,"People & Blogs",2433292,123805,1069,9275,13,9
"Japan's Ominous Dancing Cats and the Disaster That Followed","SciShow",27,"Education",295156,10918,149,781,13,9
"Rick and Morty Character Studies: Why is Rick Such a Rick?","ScreenPrism",1,"Film & Animation",165849,3391,297,374,13,9
"I Gave Myself A Celebrity Hair Transformation 💇🏾✂️","Michelle Khare",24,"Entertainment",322896,8516,470,663,13,9
"Viral Instagram Makeup Trends!! Wavy Eyebrows Tested! Alisha Marie","AlishaMarie",26,"Howto & Style",1617247,83419,1014,7114,13,9
"Try-On FALL HAUL! Fashion + Drugstore Makeup | Ingrid Nilsen","Ingrid Nilsen",26,"Howto & Style",185928,6156,129,320,13,9
"Minelli - Empty Spaces (Official Video) [Ultra Music]","Ultra Music",10,"Music",265833,3995,197,256,13,9
"A Moment of Silence at the National 9/11 Memorial & Museum","Inside Edition",25,"News & Politics",28038,845,41,344,13,9
"Tracking Hurricane Irma 9/11","CBS Miami",25,"News & Politics",91229,270,62,211,13,9
"Life of Kylie Recap Season 1, Ep.7 | E!","E! Entertainment",24,"Entertainment",188162,1990,266,192,13,9
"what is derealisation / depersonalisation?","doddlevloggle",24,"Entertainment",157437,19869,78,2027,13,9
"Hurricane Irma Makes Landfall in Florida Keys as Powerful Category 4 | TODAY","TODAY",25,"News & Politics",329459,1158,188,439,13,9
"FENTY BEAUTY by RIHANNA FULL REVIEW","James Charles",24,"Entertainment",1153128,45408,4311,5708,13,9
"Hurricane Irma Now a Category 3, Could 'Re-Engergize' to Category 4 | MSNBC","MSNBC",25,"News & Politics",1769252,8048,2123,3359,13,9
"#IRMAgerd Hurricane Candy and why it's hard to make candy when it rains.","Lofty Pursuits",26,"Howto & Style",381229,11618,452,1663,13,9
"BBC Anchor Gets LOST on Camera (News Blooper)","NewsFunnies",25,"News & Politics",260164,2405,121,259,13,9
"Dried up Beach in the Bahamas","ViralHog",22,"People & Blogs",1275489,2678,494,895,13,9
"Hurricane Irma News Bloopers","Funny Local News",25,"News & Politics",9025,53,1,16,13,9
"Full Face Of First Impressions | Testing New Makeup | Beauty With Mi","Refinery29",26,"Howto & Style",13892,327,29,86,13,9
"Rudimental - Sun Comes Up feat. James Arthur [Official Video]","Rudimental",10,"Music",216040,9301,140,349,13,9
"10 Hilarious Thrift Store Items!","Matthias",28,"Science & Technology",2036428,41039,2671,15607,13,9
"Hurricane Irma roars into the Florida Keys and continues up the coast","ABC News",25,"News & Politics",50155,251,27,146,13,9
"The Honda Civic has a very small feature, that I never noticed. Until now.","Jared's Garage",2,"Cars & Vehicles",659749,3964,712,278,13,9
"TESTING WEIRD PUPPY TOYS WITH PUPPY!!! *CUTE*","LaurDIY",26,"Howto & Style",1007014,57545,570,3333,13,9
"Served Like A Girl - Trailer","Freestyle Digital Media",1,"Film & Animation",7410,48,2,0,13,9
"Hurricane Irma Emergency Fake Interpreter","Jane Smith",22,"People & Blogs",158816,206,67,153,13,9
"CHECK DESCRIPTION! Southern most point live webcam","Kevin Novobilsky",23,"Comedy",2330211,4893,938,381,13,9
"Cal Football 2017: HC Justin Wilcox September 11, 2017","Cal Bears",17,"Sports",1002,8,0,3,13,9
"SALTED EGG CRAB! Street Food Tour of Old Airport Road Hawker Center","Strictly Dumpling",19,"Travel & Events",622951,13260,493,1751,13,9
"Nothing But Thieves - Sorry (Stripped Back)","NBTVEVO",10,"Music",92783,6491,54,339,13,9
"These Are The Best Features Coming To iPhones.","UrAvgConsumer",28,"Science & Technology",352284,13099,508,1297,13,9
"Galaxy Note 8 // 8 Things To Do First!","Kevin The Tech Ninja",28,"Science & Technology",8692,340,16,36,13,9
"IT - SPOILER Talk","Jeremy Jahns",24,"Entertainment",788310,17141,1054,5521,13,9
"Sloane Stephens jokes that $3.7 million check inspires her to keep playing | ESPN","ESPN",17,"Sports",113400,1049,20,297,13,9
"Killer Whales Attack Minke - Frozen Planet - BBC Earth","BBC Earth",15,"Pets & Animals",163404,3337,111,447,13,9
"Garlic Knot Chicken Alfredo Ring","Tasty",26,"Howto & Style",352119,12880,195,517,13,9
"2017 US Open: Sloane Stephens Takes The Title","US Open Tennis Championships",17,"Sports",119124,742,48,404,13,9
"First Tuned Run of Terry Mayhugh's Quarter Scale V12 Merlin","mayhugh1",2,"Cars & Vehicles",7009,45,0,9,13,9
"Rainbow Connection - The Muppets at The Hollywood Bowl - September 8, 2017 HD","Synthetik Films",10,"Music",92656,895,22,143,13,9
"Los jugadores de Sacachispas entraron vestidos de guerreros vs Sarmiento (Copa Argentina)","Futbol La Pasion",17,"Sports",53712,203,4,25,13,9
"30 Days Timelapse at Sea | 4K | Through Thunderstorms, Torrential Rain & Busy Traffic","JeffHK",19,"Travel & Events",763632,51890,194,4852,13,9
"FENTY BEAUTY by RIHANNA... HIT OR MISS?! | Jeffree Star","jeffreestar",26,"Howto & Style",5044462,183483,16582,19443,13,9
"Teardown and Experiments with a Doppler Microwave Transceiver","Kerry Wong",27,"Education",2874,104,0,15,13,9
"Stephen King's IT - What's the Difference?","CineFix",24,"Entertainment",1307902,19734,984,3029,13,9
"SVU 9.11 Opener Dedication.wmv","DarthLucifer08",24,"Entertainment",19431,87,2,10,13,9
"The Final Steps of Making Pyrimethamine (Daraprim)","NurdRage",27,"Education",229636,7897,47,781,13,9
"Steve Bannon: Trump's Access Hollywood tape was a litmus test","CBS This Morning",25,"News & Politics",171000,454,85,290,13,9
"ROASTING YOUTUBERS' NAILS (nail diss)","Simply Nailogical",24,"Entertainment",1812471,133824,5380,23176,13,9
"Dancing in 80's Movies Supercut - Vol. 2","Robert Jones",24,"Entertainment",11830,200,3,22,13,9
"Blake Shelton - I'll Name The Dogs (Official Music Video)","Blake Shelton",10,"Music",1851893,24779,2844,2242,13,9
"Dad Builds Palace For Dogs","Caters Clips",25,"News & Politics",4801,28,0,8,13,9
"Hurricane Irma Warning With Sign Language","Cole Truax",22,"People & Blogs",55214,258,5,99,13,9
"Kmart - I Can","Kmart",24,"Entertainment",116337,17,10,2,13,9
"The $80 Smartphone Challenge","Austin Evans",28,"Science & Technology",387873,12099,458,1771,13,9
"FENTY BEAUTY | FULL FACE BEAT,  IMPRESSIONS + REVIEW","Shameless Maya",26,"Howto & Style",406327,20499,516,6361,13,9
"How to Save Your Seat in Japan","Life Where I'm From",22,"People & Blogs",108653,3606,109,699,13,9
"How to Cook With No Power During a Hurricane #Irma","Brothers Green Eats",26,"Howto & Style",77640,2223,221,390,13,9
"How to Win Australia","vlogbrothers",22,"People & Blogs",173773,9188,166,876,13,9
"RIHANNA FENTY BEAUTY My First Impressions Full Face + Review For Dark Skin | MsDebDeb","Ms Deb Deb",26,"Howto & Style",1106140,38670,1576,1470,13,9
"One America Appeal: Our Friends In Texas","One America Appeal",22,"People & Blogs",952945,17703,3207,0,13,9
"ANVIL Vs. WATERMELON PYRAMID! (CRAZY 45m DROP TESTS)","How Ridiculous",17,"Sports",277903,13343,212,6348,13,9
"24 Genres. Two Artists. One song. All voices. - Shape of You Ed Sheeran","Peter Hollens",10,"Music",700036,49257,995,4863,13,9
"Welcome to JURASSIC FALLS!","Brave Wilderness",15,"Pets & Animals",2384595,50009,1918,6584,13,9
"1976 Buick Skyhawk Commercial","OsbornTramain",22,"People & Blogs",1712,15,0,4,13,9
"Nicholls Postgame | Kevin Sumlin 9.9.17","Texas A&M Athletics",17,"Sports",13794,40,49,0,13,9
"Kane Brown - Found You (Audio)","KaneBrownVEVO",10,"Music",834567,20322,876,862,13,9
"Game of Thrones sings Look What You Made Me Do","Matthijs Vlot",1,"Film & Animation",443606,4231,68,246,13,9
"Bernie Sanders Tries To Say Something Nice About Trump","The Late Show with Stephen Colbert",24,"Entertainment",1493731,23472,3490,5872,13,9
"Sam Smith - Too Good At Goodbyes (Official Audio)","SamSmithWorldVEVO",10,"Music",13728070,468636,6597,20989,13,9
"Calvin Harris - Hard to Love (Official Video) ft. Jessie Reyez","CalvinHarrisVEVO",10,"Music",4850078,146460,8649,4896,13,9
"Update: Problem with Chemo Pills","Courtelizz1",26,"Howto & Style",108839,3677,107,732,13,9
"If kids shows were honest about life","AnthonyPadilla",23,"Comedy",614717,49443,1986,3970,13,9
"What Does Your Search History Say About You?","AsapSCIENCE",28,"Science & Technology",1244953,29748,2639,4112,13,9
"Nerf meets Call of Duty: Gun Game 8.0 | First Person in 4K!","Aaron Esser",24,"Entertainment",1862718,21516,1960,2108,13,9
"G-Eazy - No Limit (Audio) ft. A$AP Rocky, Cardi B","GEazyMusicVEVO",10,"Music",2114219,77679,1874,4529,13,9
"Rutgers Falls To Eastern Michigan","Big Ten Network",17,"Sports",11533,51,7,29,13,9
"Florida Weather Cameras - Hurricane Irma (19 cameras across Florida)","stere0123",19,"Travel & Events",109422,200,14,0,13,9
"Alias Grace | Official Trailer [HD] | Netflix","Netflix",24,"Entertainment",349856,4403,140,335,13,9
"The only dating advice you'll ever need","Anna Akana",23,"Comedy",447037,25068,710,1299,13,9
"Home Again - Movie Review","Chris Stuckmann",24,"Entertainment",226012,9353,156,1282,13,9
"Fifth Harmony - Deliver","FifthHarmonyVEVO",10,"Music",3998451,291383,11624,24246,13,9
"Janet Jackson performs Dammn Baby & I Get Lonely live State Of The World Tour","Concert Daily",10,"Music",82199,1194,51,194,13,9
"Jordan Peele and Spike Lee Team Up for Movie About Black Cop Who Infiltrated the KKK","Complex News",24,"Entertainment",41962,1445,50,268,13,9
"ZAYN - Dusk Till Dawn ft. Sia","ZaynVEVO",10,"Music",36323498,1431683,28049,100661,13,9
"Orlando braces for Hurricane Irma","Fox News",25,"News & Politics",25652,73,11,62,13,9
"IT's Nicholas Hamilton & Chosen Jacobs Play RAW's Whisper Challenge","RAW",22,"People & Blogs",7563,344,1,21,13,9
"Green Day - Too Dumb to Die (Official Lyric Video)","Green Day",10,"Music",845694,64515,625,4325,13,9
"Hailee Steinfeld & Alesso (ft. Florida Georgia Line & watt) - Let Me Go (Official Audio)","Hailee Steinfeld",22,"People & Blogs",316616,10084,104,331,13,9
"Kelly Clarkson - Love So Soft [Official Video]","Kelly Clarkson",10,"Music",3027926,76505,2880,6414,13,9
"Harry Potter Theory: The History Of Hagrid’s Wand","SuperCarlinBrothers",22,"People & Blogs",463409,19286,393,2304,13,9
"Hurricanes Irma, Jose, and Katia, all at once on 9/6/17","WKRG",25,"News & Politics",4761358,50802,1128,8606,13,9
"Thomas Rhett - Sweetheart (Static Video)","ThomasRhettVEVO",10,"Music",376381,8909,170,334,13,9
"Suburbicon - Trailer 2","Deadline Hollywood",24,"Entertainment",30851,261,65,49,13,9
"Live footage as Hurricane Irma destroys Maho Beach Cam in St Maarten   9/6/2017","PTZtv",25,"News & Politics",13752002,46101,4898,0,13,9
"Avenged Sevenfold - As Tears Go By","AvengedSevenfoldVEVO",10,"Music",433708,24188,712,2383,13,9
"Acting Out My REAL Childhood Stories (PART 1)","IISuperwomanII",23,"Comedy",2465146,179085,1567,11973,13,9
"Taylor Swift NOW Presents: See What Taylor’s Up To NOW | AT&T","AT&T",10,"Music",836472,19314,1206,0,13,9
"American Horror Story: CULT BEE HIVE","Madeyewlook",26,"Howto & Style",599780,29851,299,453,13,9
"Lecrae - Hammer Time (Dance Visual) ft. 1K Phew","LecraeVEVO",10,"Music",106186,4695,193,396,13,9
"Small Hands Samsung Galaxy Note 8 Review","Linus Tech Tips",28,"Science & Technology",626600,20553,1033,2138,13,9
"ONLINE SHOPPING HAUL 2017! (with me, a shopaholic)","Amber Scholl",26,"Howto & Style",384682,21302,353,1559,13,9
"Liza Koshy's Dream Office Makeover | OMG We're Coming Over | Mr. Kate","Mr. Kate",26,"Howto & Style",2451184,176110,1017,6257,13,9
"R3HAB & Quintino  - I Just Can't (Official Video)","R3HAB",10,"Music",480279,26662,241,557,13,9
"9 Things You Need To Know About Kittens - Simon's Cat | 101","Simon's Cat",15,"Pets & Animals",189414,7070,112,288,13,9
"Watch Live Satellite Images Of Hurricane Irma: Evacuation Orders In Place In Florida | TIME","TIME",25,"News & Politics",103666,196,67,80,13,9
"GAGA: FIVE FOOT TWO Press Conference | Festival 2017","TIFF",1,"Film & Animation",74494,2218,37,159,13,9
"Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.","Alexis Ohanian",28,"Science & Technology",1110865,11255,1817,3631,14,9
"Alexa: Guess My","Norm Krumpe",22,"People & Blogs",235562,1801,78,96,14,9
"Bill Skarsgård's Demonic “IT Smile  - CONAN on TBS","Team Coco",23,"Comedy",1798895,26425,465,2278,14,9
"iPhone X — Introducing iPhone X — Apple","Apple",28,"Science & Technology",12200526,258842,44339,0,14,9
"1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!","Logan Paul Vlogs",24,"Entertainment",5457497,349857,17479,52483,14,9
"Apple iPhone X first look","The Verge",28,"Science & Technology",3654879,30836,6101,16713,14,9
"SPIKED by a Sea Urchin?","Brave Wilderness",15,"Pets & Animals",1398322,35880,619,6246,14,9
"Lana Del Rey - White Mustang (Official Video)","LanaDelReyVEVO",10,"Music",1568852,174771,2166,19191,14,9
"Official US Find Your Voice Trailer - Disney/Pixar's Coco","Disney•Pixar",1,"Film & Animation",558820,4847,259,1083,14,9
"iPhone X and iPhone 8!","iJustine",28,"Science & Technology",761705,32608,1562,6864,14,9
"My Response","PewDiePie",22,"People & Blogs",6997601,626155,46445,190979,14,9
"SOY PABLO Extended Trailer  -- A Bad Lip Reading of Narcos, a Netflix Original Series","Bad Lip Reading",23,"Comedy",504827,29220,457,2233,14,9
"The Opposition w/ Jordan Klepper - Opposing the Resistance in Phoenix","Comedy Central",23,"Comedy",580441,2520,533,977,14,9
"iPhone X (parody)","jacksfilms",23,"Comedy",2084309,128402,1136,8733,14,9
"Jennifer Lawrence Challenges Jimmy to an Axe Throwing Contest","The Tonight Show Starring Jimmy Fallon",23,"Comedy",909358,14539,672,1353,14,9
"The Check In: HUD, Ben Carson and Hurricanes","Late Night with Seth Meyers",23,"Comedy",1119034,12843,560,1367,14,9
"iPhone X Impressions & Hands On!","Marques Brownlee",28,"Science & Technology",3087549,93812,3067,19758,14,9
"The real reason To Kill A Mockingbird became so famous","Vox",25,"News & Politics",380266,11558,1286,1783,14,9
"Sarah Huckabee Sanders on Jemele Hill","TP Clips 8",25,"News & Politics",83219,157,190,406,14,9
"The Disaster Artist | Official Trailer HD | A24","A24",1,"Film & Animation",1673317,40496,678,3915,14,9
"Hand In Hand A Benefit For Hurricane Relief | MTV","MTV",24,"Entertainment",393968,10053,596,1191,14,9
"Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017","America's Got Talent",24,"Entertainment",990274,22897,639,2430,14,9
"Riverdale | Motive Trailer | The CW","The CW Television Network",24,"Entertainment",86119,1835,18,230,14,9
"Fergie - You Already Know ft. Nicki Minaj","FergieVEVO",10,"Music",1668188,88182,5893,7373,14,9
"Best Floyd Mayweather Interview | Awkward Puppets","Awkward Puppets",23,"Comedy",705475,34506,549,3180,14,9
"Weight Update: 6 weeks Post Surgery! 93 pounds!","boogie2988",24,"Entertainment",515740,37881,538,8313,14,9
"Stephen A. Smith calls ESPN's #NBArank 'garbage' for Carmelo Anthony rating | First Take | ESPN","ESPN",17,"Sports",367178,5296,199,2422,14,9
"iPhone X Hands on - Everything you need to know","Jonathan Morrison",28,"Science & Technology",751902,22556,870,4638,14,9
"Honest Trailers - The Mummy (2017)","Screen Junkies",1,"Film & Animation",1341911,33111,1035,4709,14,9
"What Do You Want to Eat?!","Wong Fu Productions",24,"Entertainment",413029,18228,404,1671,14,9
"ATTACKED BY A POLICE DOG!!","RomanAtwoodVlogs",22,"People & Blogs",1637683,76343,936,6052,14,9
"Does Maggie Gyllenhaal Have Taylor Swift’s Scarf? | WWHL","Watch What Happens Live with Andy Cohen",24,"Entertainment",87153,220,43,115,14,9
"Honest College Tour","CollegeHumor",23,"Comedy",1130469,39886,876,2347,14,9
"Fifth Harmony: He Like That","The Late Late Show with James Corden",24,"Entertainment",378178,25046,1112,2510,14,9
"Bell's Theorem: The Quantum Venn Diagram Paradox","minutephysics",28,"Science & Technology",292585,16909,325,1845,14,9
"Bella Hadid Roughs Up Security Roughing Up Female Photog | TMZ","TMZ",24,"Entertainment",41452,485,244,318,14,9
"iPhone X Face ID Unlock Fail","Unbox Therapy",28,"Science & Technology",2741837,72782,7146,18239,14,9
"Juicy Chicken Breast - You Suck at Cooking (episode 65)","You Suck At Cooking",26,"Howto & Style",586091,26816,778,2165,14,9
"Downsizing (2017) - Official Trailer - Paramount Pictures","Paramount Pictures",1,"Film & Animation",2995809,9467,371,1709,14,9
"iPhone X vs iPhone 8 Hands On - What’s the Difference?","UrAvgConsumer",28,"Science & Technology",712467,33015,863,4018,14,9
"Kid Rock - Tennessee Mountain Top [Lyrics]","Kid Rock",10,"Music",159643,4389,651,603,14,9
