Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
4/25/2003,28.97,3.85,15.33,4/25/2003,5.1865,-0.389,-6.98,4/25/2003,12.9474,-0.161,-1.23,4/25/2003,67.2275,-0.8419,-1.24
4/28/2003,29.11,0.14,0.48,4/28/2003,5.3103,0.1238,2.39,4/28/2003,13.2463,0.2989,2.31,4/28/2003,68.3898,1.1623,1.73
4/29/2003,28.89,-0.22,-0.76,4/29/2003,5.286,-0.0243,-0.46,4/29/2003,13.4106,0.1643,1.24,4/29/2003,68.6282,0.2384,0.35
4/30/2003,28.69,-0.2,-0.69,4/30/2003,5.1954,-0.0906,-1.71,4/30/2003,13.2693,-0.1413,-1.05,4/30/2003,68.4792,-0.149,-0.22
5/1/2003,28.66,-0.03,-0.10,5/1/2003,5.3037,0.1083,2.08,5/1/2003,13.2825,0.0132,0.10,5/1/2003,68.4717,-0.0075,-0.01
5/2/2003,29.43,0.77,2.69,5/2/2003,5.255,-0.0487,-0.92,5/2/2003,13.4664,0.1839,1.38,5/2/2003,69.4478,0.9761,1.43
5/5/2003,29.96,0.53,1.80,5/5/2003,5.1998,-0.0552,-1.05,5/5/2003,13.312,-0.1544,-1.15,5/5/2003,69.3136,-0.1342,-0.19
5/6/2003,30.88,0.92,3.07,5/6/2003,5.2948,0.095,1.83,5/6/2003,13.473,0.161,1.21,5/6/2003,69.9693,0.6557,0.95
5/7/2003,30.7,-0.18,-0.58,5/7/2003,5.2153,-0.0795,-1.50,5/7/2003,14.212,0.739,5.49,5/7/2003,69.5819,-0.3874,-0.55
5/8/2003,30.45,-0.25,-0.81,5/8/2003,5.0827,-0.1326,-2.54,5/8/2003,14.0839,-0.1281,-0.90,5/8/2003,68.8815,-0.7004,-1.01
5/9/2003,30.965,0.515,1.69,5/9/2003,5.1335,0.0508,1.00,5/9/2003,14.4485,0.3646,2.59,5/9/2003,69.8352,0.9537,1.38
5/12/2003,31.7,0.735,2.37,5/12/2003,5.1689,0.0354,0.69,5/12/2003,14.5503,0.1018,0.70,5/12/2003,70.692,0.8568,1.23
5/13/2003,32.95,1.25,3.94,5/13/2003,5.1136,-0.0553,-1.07,5/13/2003,14.5339,-0.0164,-0.11,5/13/2003,70.5654,-0.1266,-0.18
5/14/2003,32.6,-0.35,-1.06,5/14/2003,5.1048,-0.0088,-0.17,5/14/2003,14.5339,0,0.00,5/14/2003,70.4163,-0.1491,-0.21
5/15/2003,32.63,0.03,0.09,5/15/2003,5.2705,0.1657,3.25,5/15/2003,14.6619,0.128,0.88,5/15/2003,70.8634,0.4471,0.63
5/16/2003,33.05,0.42,1.29,5/16/2003,5.1945,-0.076,-1.44,5/16/2003,14.4353,-0.2266,-1.55,5/16/2003,70.6846,-0.1788,-0.25
5/19/2003,31.56,-1.49,-4.51,5/19/2003,5.0606,-0.1339,-2.58,5/19/2003,14.4879,0.0526,0.36,5/19/2003,69.0305,-1.6541,-2.34
5/20/2003,31.48,-0.08,-0.25,5/20/2003,5.0981,0.0375,0.74,5/20/2003,14.6225,0.1346,0.93,5/20/2003,68.8889,-0.1416,-0.21
5/21/2003,31.75,0.27,0.86,5/21/2003,5.0915,-0.0066,-0.13,5/21/2003,14.4977,-0.1248,-0.85,5/21/2003,69.0305,0.1416,0.21
5/22/2003,33,1.25,3.94,5/22/2003,5.2,0.1085,2.13,5/22/2003,14.6258,0.1281,0.88,5/22/2003,69.716,0.6855,0.99
5/23/2003,32.72,-0.28,-0.85,5/23/2003,5.1777,-0.0223,-0.43,5/23/2003,14.5141,-0.1117,-0.76,5/23/2003,69.8575,0.1415,0.20
5/27/2003,34.85,2.13,6.51,5/27/2003,5.2374,0.0597,1.15,5/27/2003,14.6685,0.1544,1.06,5/27/2003,71.0795,1.222,1.75
5/28/2003,34.86,0.01,0.03,5/28/2003,5.2219,-0.0155,-0.30,5/28/2003,14.5043,-0.1642,-1.12,5/28/2003,71.2806,0.2011,0.28
5/29/2003,35.55,0.69,1.98,5/29/2003,5.2153,-0.0066,-0.13,5/29/2003,14.6554,0.1511,1.04,5/29/2003,71.0943,-0.1863,-0.26
5/30/2003,35.89,0.34,0.96,5/30/2003,5.4517,0.2364,4.53,5/30/2003,14.9674,0.312,2.13,5/30/2003,72.2343,1.14,1.60
6/2/2003,35.4,-0.49,-1.37,6/2/2003,5.4119,-0.0398,-0.73,6/2/2003,15.0429,0.0755,0.50,6/2/2003,72.5323,0.298,0.41
6/3/2003,35.23,-0.17,-0.48,6/3/2003,5.3965,-0.0154,-0.28,6/3/2003,15.1448,0.1019,0.68,6/3/2003,72.8304,0.2981,0.41
6/4/2003,35.39,0.16,0.45,6/4/2003,5.3854,-0.0111,-0.21,6/4/2003,15.3024,0.1576,1.04,6/4/2003,73.8809,1.0505,1.44
6/5/2003,35.52,0.13,0.37,6/5/2003,5.4451,0.0597,1.11,6/5/2003,15.3648,0.0624,0.41,6/5/2003,74.246,0.3651,0.49
6/6/2003,33.35,-2.17,-6.11,6/6/2003,5.4097,-0.0354,-0.65,6/6/2003,15.401,0.0362,0.24,6/6/2003,73.9554,-0.2906,-0.39
6/9/2003,33.68,0.33,0.99,6/9/2003,5.3766,-0.0331,-0.61,6/9/2003,15.3944,-0.0066,-0.04,6/9/2003,73.2029,-0.7525,-1.02
6/10/2003,34.07,0.39,1.16,6/10/2003,5.3921,0.0155,0.29,6/10/2003,15.3057,-0.0887,-0.58,6/10/2003,73.948,0.7451,1.02
6/11/2003,34.65,0.58,1.70,6/11/2003,5.3788,-0.0133,-0.25,6/11/2003,15.4437,0.138,0.90,6/11/2003,74.7303,0.7823,1.06
6/12/2003,35.201,0.551,1.59,6/12/2003,5.339,-0.0398,-0.74,6/12/2003,15.6581,0.2144,1.39,6/12/2003,74.9613,0.231,0.31
6/13/2003,34.13,-1.071,-3.04,6/13/2003,5.2992,-0.0398,-0.75,6/13/2003,15.6252,-0.0329,-0.21,6/13/2003,74.1789,-0.7824,-1.04
6/16/2003,35.84,1.71,5.01,6/16/2003,5.4716,0.1724,3.25,6/16/2003,15.9056,0.2804,1.79,6/16/2003,75.7436,1.5647,2.11
6/17/2003,35.84,0,0.00,6/17/2003,5.4031,-0.0685,-1.25,6/17/2003,15.5757,-0.3299,-2.07,6/17/2003,75.7436,0,0.00
6/18/2003,35.85,0.01,0.03,6/18/2003,5.339,-0.0641,-1.19,6/18/2003,15.5097,-0.066,-0.42,6/18/2003,75.6765,-0.0671,-0.09
6/19/2003,35.5,-0.35,-0.98,6/19/2003,5.3412,0.0022,0.04,6/19/2003,15.2193,-0.2904,-1.87,6/19/2003,74.5217,-1.1548,-1.53
6/20/2003,35.04,-0.46,-1.30,6/20/2003,5.3081,-0.0331,-0.62,6/20/2003,15.3348,0.1155,0.76,6/20/2003,74.3577,-0.164,-0.22
6/23/2003,35.58,0.54,1.54,6/23/2003,5.3213,0.0132,0.25,6/23/2003,15.4272,0.0924,0.60,6/23/2003,73.595,-0.7627,-1.03
6/24/2003,35.4,-0.18,-0.51,6/24/2003,5.3147,-0.0066,-0.12,6/24/2003,15.5658,0.1386,0.90,6/24/2003,73.6698,0.0748,0.10
6/25/2003,35.39,-0.01,-0.03,6/25/2003,5.3236,0.0089,0.17,6/25/2003,15.3909,-0.1749,-1.12,6/25/2003,72.9295,-0.7403,-1.00
6/26/2003,36.72,1.33,3.76,6/26/2003,5.4031,0.0795,1.49,6/26/2003,15.4701,0.0792,0.51,6/26/2003,73.8792,0.9497,1.30
6/27/2003,36.3,-0.42,-1.14,6/27/2003,5.4252,0.0221,0.41,6/27/2003,15.348,-0.1221,-0.79,6/27/2003,73.0267,-0.8525,-1.15
6/30/2003,36.32,0.02,0.06,6/30/2003,5.4252,0,0.00,6/30/2003,15.315,-0.033,-0.22,6/30/2003,73.0043,-0.0224,-0.03
7/1/2003,37.25,0.93,2.56,7/1/2003,5.5976,0.1724,3.18,7/1/2003,15.3414,0.0264,0.17,7/1/2003,73.6773,0.673,0.92
7/2/2003,37.85,0.6,1.61,7/2/2003,5.96,0.3624,6.47,7/2/2003,15.3051,-0.0363,-0.24,7/2/2003,74.6045,0.9272,1.26
7/3/2003,37.68,-0.17,-0.45,7/3/2003,5.8561,-0.1039,-1.74,7/3/2003,15.2556,-0.0495,-0.32,7/3/2003,73.8343,-0.7702,-1.03
7/7/2003,39.05,1.37,3.64,7/7/2003,6.0285,0.1724,2.94,7/7/2003,14.8332,-0.4224,-2.77,7/7/2003,75.2999,1.4656,1.98
7/8/2003,40.51,1.46,3.74,7/8/2003,6.0373,0.0088,0.15,7/8/2003,14.5923,-0.2409,-1.62,7/8/2003,75.6364,0.3365,0.45
7/9/2003,40.5,-0.01,-0.02,7/9/2003,5.9953,-0.042,-0.70,7/9/2003,14.4801,-0.1122,-0.77,7/9/2003,75.2102,-0.4262,-0.56
7/10/2003,38.25,-2.25,-5.56,7/10/2003,5.8937,-0.1016,-1.69,7/10/2003,14.523,0.0429,0.30,7/10/2003,74.2531,-0.9571,-1.27
7/11/2003,37.65,-0.6,-1.57,7/11/2003,5.9335,0.0398,0.68,7/11/2003,14.49,-0.033,-0.23,7/11/2003,74.956,0.7029,0.95
7/14/2003,39.27,1.62,4.30,7/14/2003,5.9291,-0.0044,-0.07,7/14/2003,14.6121,0.1221,0.84,7/14/2003,75.3224,0.3664,0.49
7/15/2003,38.43,-0.84,-2.14,7/15/2003,5.8517,-0.0774,-1.31,7/15/2003,14.5164,-0.0957,-0.65,7/15/2003,75.1579,-0.1645,-0.22
7/16/2003,37.68,-0.75,-1.95,7/16/2003,5.9489,0.0972,1.66,7/16/2003,14.16,-0.3564,-2.46,7/16/2003,74.7167,-0.4412,-0.59
7/17/2003,36.32,-1.36,-3.61,7/17/2003,5.8186,-0.1303,-2.19,7/17/2003,14.7705,0.6105,4.31,7/17/2003,73.6548,-1.0619,-1.42
7/18/2003,34.9798,-1.3402,-3.69,7/18/2003,5.8871,0.0685,1.18,7/18/2003,14.8167,0.0462,0.31,7/18/2003,74.4101,0.7553,1.03
7/21/2003,35.33,0.3502,1.00,7/21/2003,5.9003,0.0132,0.22,7/21/2003,14.8497,0.033,0.22,7/21/2003,73.4903,-0.9198,-1.24
7/22/2003,34.87,-0.46,-1.30,7/22/2003,5.9423,0.042,0.71,7/22/2003,14.8794,0.0297,0.20,7/22/2003,74.1558,0.6655,0.91
7/23/2003,40.11,5.24,15.03,7/23/2003,5.9313,-0.011,-0.19,7/23/2003,14.9058,0.0264,0.18,7/23/2003,74.2082,0.0524,0.07
7/24/2003,41.31,1.2,2.99,7/24/2003,5.8318,-0.0995,-1.68,7/24/2003,14.6913,-0.2145,-1.44,7/24/2003,73.6474,-0.5608,-0.76
7/25/2003,41.6,0.29,0.70,7/25/2003,5.9003,0.0685,1.17,7/25/2003,14.8629,0.1716,1.17,7/25/2003,74.9485,1.3011,1.77
7/28/2003,42.08,0.48,1.15,7/28/2003,5.8804,-0.0199,-0.34,7/28/2003,14.7276,-0.1353,-0.91,7/28/2003,74.6718,-0.2767,-0.37
7/29/2003,41.39,-0.69,-1.64,7/29/2003,5.8296,-0.0508,-0.86,7/29/2003,14.8035,0.0759,0.52,7/29/2003,74.3278,-0.344,-0.46
7/30/2003,40.66,-0.73,-1.76,7/30/2003,5.9379,0.1083,1.86,7/30/2003,14.9751,0.1716,1.16,7/30/2003,74.1484,-0.1794,-0.24
7/31/2003,41.64,0.98,2.41,7/31/2003,6.0395,0.1016,1.71,7/31/2003,14.8398,-0.1353,-0.90,7/31/2003,74.3204,0.172,0.23
8/1/2003,40.03,-1.61,-3.87,8/1/2003,5.9909,-0.0486,-0.80,8/1/2003,14.7672,-0.0726,-0.49,8/1/2003,73.6623,-0.6581,-0.89
8/4/2003,39.65,-0.38,-0.95,8/4/2003,5.9556,-0.0353,-0.59,8/4/2003,14.8134,0.0462,0.31,8/4/2003,73.6623,0,0.00
8/5/2003,38.67,-0.98,-2.47,8/5/2003,5.8119,-0.1437,-2.41,8/5/2003,14.6385,-0.1749,-1.18,8/5/2003,72.0995,-1.5628,-2.12
8/6/2003,38.94,0.27,0.70,8/6/2003,5.7744,-0.0375,-0.65,8/6/2003,14.5527,-0.0858,-0.59,8/6/2003,72.5182,0.4187,0.58
8/7/2003,39.01,0.07,0.18,8/7/2003,5.7722,-0.0022,-0.04,8/7/2003,14.7771,0.2244,1.54,8/7/2003,73.281,0.7628,1.05
8/8/2003,39.15,0.14,0.36,8/8/2003,5.7854,0.0132,0.23,8/8/2003,14.8002,0.0231,0.16,8/8/2003,73.4903,0.2093,0.29
8/11/2003,38.93,-0.22,-0.56,8/11/2003,5.8362,0.0508,0.88,8/11/2003,14.7243,-0.0759,-0.51,8/11/2003,73.767,0.2767,0.38
8/12/2003,39.85,0.92,2.36,8/12/2003,5.8893,0.0531,0.91,8/12/2003,14.7342,0.0099,0.07,8/12/2003,74.44,0.673,0.91
8/13/2003,40.21,0.36,0.90,8/13/2003,5.8583,-0.031,-0.53,8/13/2003,14.688,-0.0462,-0.31,8/13/2003,74.0586,-0.3814,-0.51
8/14/2003,40.3,0.09,0.22,8/14/2003,5.9556,0.0973,1.66,8/14/2003,14.8695,0.1815,1.24,8/14/2003,74.2605,0.2019,0.27
8/15/2003,40.1,-0.2,-0.50,8/15/2003,5.9423,-0.0133,-0.22,8/15/2003,14.853,-0.0165,-0.11,8/15/2003,74.4923,0.2318,0.31
8/18/2003,43.02,2.92,7.28,8/18/2003,6.0174,0.0751,1.26,8/18/2003,14.8035,-0.0495,-0.33,8/18/2003,75.1354,0.6431,0.86
8/19/2003,43.57,0.55,1.28,8/19/2003,5.9733,-0.0441,-0.73,8/19/2003,14.6187,-0.1848,-1.25,8/19/2003,75.4196,0.2842,0.38
8/20/2003,43.76,0.19,0.44,8/20/2003,5.9953,0.022,0.37,8/20/2003,14.4834,-0.1353,-0.93,8/20/2003,75.113,-0.3066,-0.41
8/21/2003,45.7,1.94,4.43,8/21/2003,5.9953,0,0.00,8/21/2003,14.391,-0.0924,-0.64,8/21/2003,75.3523,0.2393,0.32
8/22/2003,45.22,-0.48,-1.05,8/22/2003,5.9224,-0.0729,-1.22,8/22/2003,14.2821,-0.1089,-0.76,8/22/2003,74.6045,-0.7478,-0.99
8/25/2003,45.85,0.63,1.39,8/25/2003,6.0064,0.084,1.42,8/25/2003,14.5428,0.2607,1.83,8/25/2003,74.7242,0.1197,0.16
8/26/2003,45.93,0.08,0.17,8/26/2003,5.9887,-0.0177,-0.29,8/26/2003,14.5956,0.0528,0.36,8/26/2003,74.8588,0.1346,0.18
8/27/2003,45.88,-0.05,-0.11,8/27/2003,5.9931,0.0044,0.07,8/27/2003,14.5065,-0.0891,-0.61,8/27/2003,74.8812,0.0224,0.03
8/28/2003,45.94,0.06,0.13,8/28/2003,6.1081,0.115,1.92,8/28/2003,14.4636,-0.0429,-0.30,8/28/2003,75.3448,0.4636,0.62
8/29/2003,46.32,0.38,0.83,8/29/2003,6.2738,0.1657,2.71,8/29/2003,14.3613,-0.1023,-0.71,8/29/2003,75.8533,0.5085,0.67
9/2/2003,47.33,1.01,2.18,9/2/2003,6.3533,0.0795,1.27,9/2/2003,14.4471,0.0858,0.60,9/2/2003,76.8702,1.0169,1.34
9/3/2003,46.19,-1.14,-2.41,9/3/2003,6.3998,0.0465,0.73,9/3/2003,14.424,-0.0231,-0.16,9/3/2003,77.289,0.4188,0.54
9/4/2003,47.29,1.1,2.38,9/4/2003,6.4506,0.0508,0.79,9/4/2003,14.6847,0.2607,1.81,9/4/2003,77.3264,0.0374,0.05
9/5/2003,46.52,-0.77,-1.63,9/5/2003,6.3666,-0.084,-1.30,9/5/2003,14.5692,-0.1155,-0.79,9/5/2003,76.8927,-0.4337,-0.56
9/8/2003,47.28,0.76,1.63,9/8/2003,6.4064,0.0398,0.63,9/8/2003,14.6088,0.0396,0.27,9/8/2003,77.5283,0.6356,0.83
9/9/2003,46.68,-0.6,-1.27,9/9/2003,6.3821,-0.0243,-0.38,9/9/2003,14.6352,0.0264,0.18,9/9/2003,77.0198,-0.5085,-0.66
9/10/2003,46.22,-0.46,-0.99,9/10/2003,6.3025,-0.0796,-1.25,9/10/2003,14.8332,0.198,1.35,9/10/2003,76.2421,-0.7777,-1.01
9/11/2003,45.19,-1.03,-2.23,9/11/2003,6.4196,0.1171,1.86,9/11/2003,14.7507,-0.0825,-0.56,9/11/2003,76.4664,0.2243,0.29
9/12/2003,45.68,0.49,1.08,9/12/2003,6.444,0.0244,0.38,9/12/2003,14.5882,-0.1625,-1.10,9/12/2003,76.6085,0.1421,0.19
9/15/2003,45.51,-0.17,-0.37,9/15/2003,6.3799,-0.0641,-0.99,9/15/2003,14.4257,-0.1625,-1.11,9/15/2003,76.3393,-0.2692,-0.35
9/16/2003,46.24,0.73,1.60,9/16/2003,6.4992,0.1193,1.87,9/16/2003,14.2333,-0.1924,-1.33,9/16/2003,77.4535,1.1142,1.46
9/17/2003,46.16,-0.08,-0.17,9/17/2003,6.4329,-0.0663,-1.02,9/17/2003,14.2632,0.0299,0.21,9/17/2003,77.3039,-0.1496,-0.19
9/18/2003,47.89,1.73,3.75,9/18/2003,6.5368,0.1039,1.62,9/18/2003,14.4588,0.1956,1.37,9/18/2003,78.2162,0.9123,1.18
9/19/2003,47.58,-0.31,-0.65,9/19/2003,6.4506,-0.0862,-1.32,9/19/2003,14.3196,-0.1392,-0.96,9/19/2003,77.8199,-0.3963,-0.51
9/22/2003,47.468,-0.112,-0.24,9/22/2003,6.4263,-0.0243,-0.38,9/22/2003,14.3395,0.0199,0.14,9/22/2003,76.9792,-0.8407,-1.08
9/23/2003,50.44,2.972,6.26,9/23/2003,6.6716,0.2453,3.82,9/23/2003,14.3991,0.0596,0.42,9/23/2003,77.2719,0.2927,0.38
9/24/2003,49.61,-0.83,-1.65,9/24/2003,6.6517,-0.0199,-0.30,9/24/2003,14.2565,-0.1426,-0.99,9/24/2003,75.8982,-1.3737,-1.78
9/25/2003,50.05,0.44,0.89,9/25/2003,6.6252,-0.0265,-0.40,9/25/2003,14.2764,0.0199,0.14,9/25/2003,75.2752,-0.623,-0.82
9/26/2003,48.56,-1.49,-2.98,9/26/2003,6.5346,-0.0906,-1.37,9/26/2003,14.2698,-0.0066,-0.05,9/26/2003,75.0275,-0.2477,-0.33
9/29/2003,49.86,1.3,2.68,9/29/2003,6.4616,-0.073,-1.12,9/29/2003,14.2831,0.0133,0.09,9/29/2003,75.7631,0.7356,0.98
9/30/2003,48.43,-1.43,-2.87,9/30/2003,6.3644,-0.0972,-1.50,9/30/2003,14.2466,-0.0365,-0.26,9/30/2003,75.0275,-0.7356,-0.97
10/1/2003,49.12,0.69,1.42,10/1/2003,6.4749,0.1105,1.74,10/1/2003,14.555,0.3084,2.16,10/1/2003,76.6264,1.5989,2.13
10/2/2003,50.09,0.97,1.97,10/2/2003,6.5036,0.0287,0.44,10/2/2003,14.6744,0.1194,0.82,10/2/2003,76.9041,0.2777,0.36
10/3/2003,52.89,2.8,5.59,10/3/2003,6.6782,0.1746,2.68,10/3/2003,14.6048,-0.0696,-0.47,10/3/2003,77.6097,0.7056,0.92
10/6/2003,54.15,1.26,2.38,10/6/2003,6.6384,-0.0398,-0.60,10/6/2003,14.7275,0.1227,0.84,10/6/2003,77.9625,0.3528,0.45
10/7/2003,54.91,0.76,1.40,10/7/2003,6.6937,0.0553,0.83,10/7/2003,14.8104,0.0829,0.56,10/7/2003,78.2628,0.3003,0.39
10/8/2003,55.7,0.79,1.44,10/8/2003,6.6097,-0.084,-1.25,10/8/2003,14.6711,-0.1393,-0.94,10/8/2003,78.0676,-0.1952,-0.25
10/9/2003,57.86,2.16,3.88,10/9/2003,6.676,0.0663,1.00,10/9/2003,14.5683,-0.1028,-0.70,10/9/2003,78.2778,0.2102,0.27
10/10/2003,58.06,0.2,0.35,10/10/2003,6.6716,-0.0044,-0.07,10/10/2003,14.5351,-0.0332,-0.23,10/10/2003,78.4955,0.2177,0.28
10/13/2003,58.3,0.24,0.41,10/13/2003,6.7158,0.0442,0.66,10/13/2003,14.6379,0.1028,0.71,10/13/2003,78.7432,0.2477,0.32
10/14/2003,59.91,1.61,2.76,10/14/2003,6.7091,-0.0067,-0.10,10/14/2003,14.7739,0.136,0.93,10/14/2003,79.0209,0.2777,0.35
10/15/2003,58.54,-1.37,-2.29,10/15/2003,6.6848,-0.0243,-0.36,10/15/2003,14.9563,0.1824,1.23,10/15/2003,78.8108,-0.2101,-0.27
10/16/2003,59.91,1.37,2.34,10/16/2003,6.7268,0.042,0.63,10/16/2003,14.9231,-0.0332,-0.22,10/16/2003,79.126,0.3152,0.40
10/17/2003,59.69,-0.22,-0.37,10/17/2003,6.6428,-0.084,-1.25,10/17/2003,14.9397,0.0166,0.11,10/17/2003,78.2628,-0.8632,-1.09
10/20/2003,59.59,-0.1,-0.17,10/20/2003,6.6716,0.0288,0.43,10/20/2003,15.1254,0.1857,1.24,10/20/2003,78.8483,0.5855,0.75
10/21/2003,59.35,-0.24,-0.40,10/21/2003,6.6274,-0.0442,-0.66,10/21/2003,15.1851,0.0597,0.39,10/21/2003,78.7132,-0.1351,-0.17
10/22/2003,54.03,-5.32,-8.96,10/22/2003,6.6119,-0.0155,-0.23,10/22/2003,15.0292,-0.1559,-1.03,10/22/2003,77.7223,-0.9909,-1.26
10/23/2003,54.32,0.29,0.54,10/23/2003,6.634,0.0221,0.33,10/23/2003,15.0956,0.0664,0.44,10/23/2003,77.5797,-0.1426,-0.18
10/24/2003,54.509,0.189,0.35,10/24/2003,6.6915,0.0575,0.87,10/24/2003,15.0558,-0.0398,-0.26,10/24/2003,77.7523,0.1726,0.22
10/27/2003,54.82,0.311,0.57,10/27/2003,6.6318,-0.0597,-0.89,10/27/2003,14.9861,-0.0697,-0.46,10/27/2003,77.7899,0.0376,0.05
10/28/2003,56.73,1.91,3.48,10/28/2003,6.8506,0.2188,3.30,10/28/2003,15.0491,0.063,0.42,10/28/2003,78.8483,1.0584,1.36
10/29/2003,56.69,-0.04,-0.07,10/29/2003,6.8727,0.0221,0.32,10/29/2003,15.205,0.1559,1.04,10/29/2003,78.9534,0.1051,0.13
10/30/2003,55.84,-0.85,-1.50,10/30/2003,6.9588,0.0861,1.25,10/30/2003,15.2547,0.0497,0.33,10/30/2003,79.1185,0.1651,0.21
10/31/2003,54.43,-1.41,-2.53,10/31/2003,6.9809,0.0221,0.32,10/31/2003,15.3874,0.1327,0.87,10/31/2003,79.0435,-0.075,-0.09
11/3/2003,56.74,2.31,4.24,11/3/2003,7.0075,0.0266,0.38,11/3/2003,15.4802,0.0928,0.60,11/3/2003,79.5614,0.5179,0.66
11/4/2003,56.86,0.12,0.21,11/4/2003,6.9765,-0.031,-0.44,11/4/2003,15.5532,0.073,0.47,11/4/2003,79.3888,-0.1726,-0.22
11/5/2003,56.74,-0.12,-0.21,11/5/2003,7.1003,0.1238,1.77,11/5/2003,15.5797,0.0265,0.17,11/5/2003,79.4488,0.06,0.08
11/6/2003,54.99,-1.75,-3.08,11/6/2003,7.1865,0.0862,1.21,11/6/2003,15.593,0.0133,0.09,11/6/2003,79.8692,0.4204,0.53
11/7/2003,54.31,-0.68,-1.24,11/7/2003,7.1887,0.0022,0.03,11/7/2003,15.4637,-0.1293,-0.83,11/7/2003,79.2762,-0.593,-0.74
11/10/2003,51.98,-2.33,-4.29,11/10/2003,7.0892,-0.0995,-1.38,11/10/2003,15.4603,-0.0034,-0.02,11/10/2003,78.9534,-0.3228,-0.41
11/11/2003,52.23,0.25,0.48,11/11/2003,7.0693,-0.0199,-0.28,11/11/2003,15.4272,-0.0331,-0.21,11/11/2003,78.9309,-0.0225,-0.03
11/12/2003,54.13,1.9,3.64,11/12/2003,7.2019,0.1326,1.88,11/12/2003,15.6129,0.1857,1.20,11/12/2003,79.8166,0.8857,1.12
11/13/2003,54.8,0.67,1.24,11/13/2003,7.2925,0.0906,1.26,11/13/2003,15.5632,-0.0497,-0.32,11/13/2003,79.8391,0.0225,0.03
11/14/2003,52.45,-2.35,-4.29,11/14/2003,7.0864,-0.2061,-2.83,11/14/2003,15.4836,-0.0796,-0.51,11/14/2003,79.1636,-0.6755,-0.85
11/17/2003,50.36,-2.09,-3.98,11/17/2003,7.0075,-0.0789,-1.11,11/17/2003,15.4802,-0.0034,-0.02,11/17/2003,78.7657,-0.3979,-0.50
11/18/2003,48.5,-1.86,-3.69,11/18/2003,6.8439,-0.1636,-2.33,11/18/2003,15.4206,-0.0596,-0.39,11/18/2003,77.9475,-0.8182,-1.04
11/19/2003,49.53,1.03,2.12,11/19/2003,6.7843,-0.0596,-0.87,11/19/2003,15.5399,0.1193,0.77,11/19/2003,78.6081,0.6606,0.85
11/20/2003,48.85,-0.68,-1.37,11/20/2003,6.7312,-0.0531,-0.78,11/20/2003,15.404,-0.1359,-0.87,11/20/2003,77.9025,-0.7056,-0.90
11/21/2003,48.58,-0.27,-0.55,11/21/2003,6.7423,0.0111,0.16,11/21/2003,15.394,-0.01,-0.06,11/21/2003,78.2252,0.3227,0.41
11/24/2003,51.33,2.75,5.66,11/24/2003,6.8727,0.1304,1.93,11/24/2003,15.394,0,0.00,11/24/2003,79.2611,1.0359,1.32
11/25/2003,52.47,1.14,2.22,11/25/2003,6.9633,0.0906,1.32,11/25/2003,15.4438,0.0498,0.32,11/25/2003,79.5614,0.3003,0.38
11/26/2003,52.96,0.49,0.93,11/26/2003,7.0892,0.1259,1.81,11/26/2003,15.5565,0.1127,0.73,11/26/2003,79.8467,0.2853,0.36
11/28/2003,53.97,1.01,1.91,11/28/2003,7.1091,0.0199,0.28,11/28/2003,15.4932,-0.0633,-0.41,11/28/2003,79.9067,0.06,0.08
12/1/2003,54.65,0.68,1.26,12/1/2003,7.1666,0.0575,0.81,12/1/2003,15.6665,0.1733,1.12,12/1/2003,80.77,0.8633,1.08
12/2/2003,53.93,-0.72,-1.32,12/2/2003,7.0826,-0.084,-1.17,12/2/2003,15.6631,-0.0034,-0.02,12/2/2003,80.5673,-0.2027,-0.25
12/3/2003,51.51,-2.42,-4.49,12/3/2003,7.0605,-0.0221,-0.31,12/3/2003,15.7931,0.13,0.83,12/3/2003,80.4397,-0.1276,-0.16
12/4/2003,51.8,0.29,0.56,12/4/2003,7.0738,0.0133,0.19,12/4/2003,15.7131,-0.08,-0.51,12/4/2003,80.77,0.3303,0.41
12/5/2003,51.56,-0.24,-0.46,12/5/2003,7.0362,-0.0376,-0.53,12/5/2003,15.6232,-0.0899,-0.57,12/5/2003,80.207,-0.563,-0.70
12/8/2003,51.08,-0.48,-0.93,12/8/2003,7.1423,0.1061,1.51,12/8/2003,15.9097,0.2865,1.83,12/8/2003,80.7474,0.5404,0.67
12/9/2003,49.34,-1.74,-3.41,12/9/2003,6.9964,-0.1459,-2.04,12/9/2003,15.913,0.0033,0.02,12/9/2003,80.1244,-0.623,-0.77
12/10/2003,49.2,-0.14,-0.28,12/10/2003,7.0075,0.0111,0.16,12/10/2003,16.0563,0.1433,0.90,12/10/2003,80.1169,-0.0075,-0.01
12/11/2003,50.8,1.6,3.25,12/11/2003,7.1135,0.106,1.51,12/11/2003,16.1229,0.0666,0.41,12/11/2003,81.0177,0.9008,1.12
12/12/2003,50.99,0.19,0.37,12/12/2003,7.0119,-0.1016,-1.43,12/12/2003,16.4495,0.3266,2.03,12/12/2003,81.1753,0.1576,0.19
12/15/2003,50.41,-0.58,-1.14,12/15/2003,6.9655,-0.0464,-0.66,12/15/2003,16.5894,0.1399,0.85,12/15/2003,80.77,-0.4053,-0.50
