Bill-Size Ratios of Bird Species (n=410),
Fulica americana,1.12
Laterallus albigularis,1.12
Amauronis olivacea,1.12
C. speciosa,1.12
D. villosus,1.12
Phloeoceastes haematogaster,1.12
Pycnontus goiavier,1.12
T. ocellatum,1.12
V. olivaceus,1.12
I. mesomelas,1.12
P. flava,1.12
M. melodia,1.12
B. albicaudatus,1.13
O. asio,1.13
A. ochrecephala,1.13
A. farinosa,1.13
C. inda,1.13
Todus subulatus,1.13
Formicarius nigricapillus,1.13
Polioptila caerula,1.13
Icterus Cucullatus,1.13
Carpodacus pupureus,1.13
B. albicaudatus,1.14
A. rutila,1.14
T. massena,1.14
Colaptes cafer,1.14
Centurus chyrsogenys,1.14
S. himalayensis,1.14
Hypothymis azurca,1.14
I. graduacauda,1.14
Zonotrichia atricapilla,1.14
Aimophila ruficeps,1.14
B. jamaicensis,1.15
D. villosus,1.15
D. villosus,1.15
P. steeri,1.15
S. europea,1.15
Troglodytes aedon,1.15
Regulus calendula,1.15
Piranga rubra,1.15
Pipilo fuscus,1.15
B. albicaudatus,1.16
E. canutus,1.16
Amazilia violiceps,1.16
T. citreolus,1.16
Lepidocolaptes leucogaster,1.16
Xiphorhynchus flavigaster,1.16
Myiarchus stolidus,1.16
M. maculatus,1.16
Turdus fumigatus,1.16
Selasphorus terridus,1.17
T. massena,1.17
Celeus castaneus,1.17
M. fcrox,1.17
D. hypoleucum,1.17
Dendroica petechis,1.17
Arremonops conirostris,1.17
B. jamaicensis,1.18
Aegolius funcreus,1.18
Calothrax lucifer,1.18
T. citreolus,1.18
M. validus,1.18
Corvus macrorhynchus,1.18
B. lineatus,1.19
Otus trichopsis,1.19
Ciccaba nigrolineata,1.19
P. palustris,1.19
C. cayennensis,1.20
Amazona imperialis,1.20
A. finschi,1.20
A. chloroptera,1.20
Crotophaga ani,1.20
Corvus leucognaphalus,1.20
T. castaneus,1.20
Rhipidura javanica,1.20
B. nitidus,1.21
E. mauri,1.21
A. cyanocaphala,1.21
C. brachyrhynchos,1.21
Nectarinia jugularis,1.21
Wilsonia canadensis,1.21
A. rufescens,1.21
G. costaricensis,1.22
Centropus viridis,1.22
P. atricristatus,1.22
P. inornatus,1.22
Hypsipetes everetti,1.22
V. altiloquus h,1.22
I. gularis,1.22
A. tzacatl,1.23
Picoides arcticus,1.23
Piculus rubiginosus,1.23
Tyrannus crassirostris,1.23
P. major,1.23
S. tephronota,1.23
Arachnothera clarae,1.23
D. villosus,1.24
Megalurus palustris,1.24
Asio stygius,1.25
E. melanotos,1.25
E. alpina,1.25
G. versicolor,1.25
H. smyrnensis,1.25
C. aurifrons,1.25
Synallaxis brachyura,1.25
V. altiloquus h?,1.25
Ninox scutulata,1.26
T. clathratus,1.26
Elaenia flavogaster,1.26
T. cubensis,1.26
T. rufus,1.26
Atlapetes albinucha,1.26
Dendrocopos scalaris,1.27
C. nasicus,1.27
Cyanolyoa cucullata,1.27
Stachyrus nigrocapitata,1.27
T. aurantius,1.27
Erolia bairdi,1.28
Collocalia inexpectata,1.28
Eupherusa eximia,1.28
C. thalassinus,1.28
Mimus gundlachi,1.28
S. airiceps,1.28
O. guatemalae,1.29
Acthopyga pulcherrima,1.29
P. rositae,1.29
A. gentilis,1.30
G. chrysia,1.30
C. amazona,1.30
Ramphastos swainsoni,1.30
Caclcus cela,1.30
Piranga bidentata,1.30
A. rufescens,1.30
Z. asiatica,1.31
T. viridis,1.31
C. pertinax,1.31
C. corax,1.31
T. redivivum,1.31
V. flavoviridis,1.31
Sitta carolinensis,1.32
Toxostoma curvirostre,1.32
Agelaius phoeniceus,1.32
A. ochrecephala,1.33
C. melanops,1.33
D. major,1.33
Cassidix mexianus,1.33
T. massena,1.34
N. macrorhynchos,1.35
Tyrannus dominicensis,1.35
S. carolinesnsis,1.35
S. carolinesnsis,1.36
Oryzoborus nuttingi,1.36
B. jamaicensis,1.37
Tyrannus dominicensis,1.37
M. tyrannulus,1.37
A. bicolar,1.39
C. cryptoleucus,1.39
Buteo jamaicensis,1.40
F. femoralis,1.40
Coracina striata,1.40
A. cooperi,1.41
Leucopternis albicollis,1.41
Pheucticus chrysopeplus,1.41
C. major,1.42
C. amierican,1.42
P. bicolor,1.43
V. altiloquus ,1.43
O. trichopsis,1.44
Geotrygon mrystacea,1.44
Dendrocopos medius,1.44
Rallus elegans,1.45
Aratinga finschi,1.45
Chloroceryle american,1.45
Notharchus pectoralis,1.45
C. amazona,1.46
Vireo osburni,1.46
Aramides cajanea,1.47
G. guatimalensis,1.47
Micrastur semitorquatus,1.48
Geotrygon chrysia,1.48
C. aurifrons,1.48
F. deiroleucus,1.49
Totanus melanoleucus,1.50
Phapitreron amethystina,1.50
A. holochlora,1.51
Nyctibius grandis,1.52
C. corax,1.53
Margarops fuscatus,1.56
F. peregrinas,1.57
C. aurifrons,1.64
Ara macao,1.66
V. altiloquus,1.69
Cyanocompsa cyanoides,1.70
Dendrocopos villosus,1.72
D. albolarvatus,1.73
Pharthornis superciliosus,1.75
Accipiter gundlachi,1.80
Falco peregrinas,1.87
