All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Ademar Santos,557,43,90,71,"$843,985.00","$1,515.00",8.00%,204,37.00%,2016
Maria Remedio,190,28,27,28,"$841,448.00","$4,429.00",15.00%,83,44.00%,2016
Orlando Bocachica,296,31,36,43,"$835,232.00","$2,822.00",10.00%,110,37.00%,2016
Geovany Garcia,536,85,69,78,"$834,513.00","$1,557.00",16.00%,232,43.00%,2016
Amadeo Perez,256,45,33,44,"$832,145.00","$3,251.00",18.00%,122,48.00%,2016
Ty Kennedy,338,31,43,31,"$831,851.00","$2,461.00",9.00%,105,31.00%,2016
Dusty Ryder Shepherd,339,33,44,42,"$831,512.00","$2,453.00",10.00%,119,35.00%,2016
Javier Matias,400,65,56,54,"$827,346.00","$2,068.00",16.00%,175,44.00%,2016
Jack Gilligan,475,56,52,60,"$823,767.00","$1,734.00",12.00%,168,35.00%,2016
Erik Barbaran,520,99,65,97,"$823,107.00","$1,583.00",19.00%,261,50.00%,2016
Alejandro L. Contreras,402,42,36,50,"$821,721.00","$2,044.00",10.00%,128,32.00%,2016
Cory Orm,538,78,60,53,"$815,357.00","$1,516.00",14.00%,191,36.00%,2016
Megan Fadlovich,566,76,71,85,"$812,319.00","$1,435.00",13.00%,232,41.00%,2016
Antonio Ambrosio Reyes,287,62,52,41,"$807,145.00","$2,812.00",22.00%,155,54.00%,2016
Jan C. Batista,398,60,51,43,"$806,821.00","$2,027.00",15.00%,154,39.00%,2016
Alonso Quinonez,316,29,50,49,"$805,248.00","$2,548.00",9.00%,128,41.00%,2016
Alexander Castillo,454,43,47,60,"$798,371.00","$1,759.00",9.00%,150,33.00%,2016
Nathan Vickers,386,48,51,52,"$797,035.00","$2,065.00",12.00%,151,39.00%,2016
Christopher P. DeCarlo,118,10,17,18,"$795,225.00","$6,739.00",8.00%,45,38.00%,2016
Yomar Orlando Ortiz,342,31,45,44,"$794,992.00","$2,325.00",9.00%,120,35.00%,2016
Katie Davis,327,35,45,41,"$787,823.00","$2,409.00",11.00%,121,37.00%,2016
Sophie Doyle,324,38,40,52,"$787,393.00","$2,430.00",12.00%,130,40.00%,2016
Grant Whitacre,354,35,49,58,"$782,408.00","$2,210.00",10.00%,142,40.00%,2016
Denis Araujo,271,46,59,54,"$771,535.00","$2,847.00",17.00%,159,59.00%,2016
Jermaine V. Bridgmohan,229,24,23,38,"$767,744.00","$3,353.00",10.00%,85,37.00%,2016
Nazario Alvarado,341,49,53,43,"$766,599.00","$2,248.00",14.00%,145,43.00%,2016
Declan Cannon,268,32,32,31,"$765,065.00","$2,855.00",12.00%,95,35.00%,2016
Francisco Duran,347,48,35,42,"$762,366.00","$2,197.00",14.00%,125,36.00%,2016
Luis Negron,423,62,68,65,"$753,987.00","$1,782.00",15.00%,195,46.00%,2016
Rodolfo Ignacio,455,59,69,59,"$752,961.00","$1,655.00",13.00%,187,41.00%,2016
Jomar Torres,268,17,26,32,"$752,878.00","$2,809.00",6.00%,75,28.00%,2016
Donnie J. Meche,238,26,32,36,"$752,640.00","$3,162.00",11.00%,94,39.00%,2016
Keishan Balgobin,300,60,48,46,"$751,499.00","$2,505.00",20.00%,154,51.00%,2016
Eswan Flores,479,63,67,63,"$749,981.00","$1,566.00",13.00%,193,40.00%,2016
Agustin Bracho,602,62,82,88,"$748,889.00","$1,244.00",10.00%,232,39.00%,2016
Hector Berrios,504,97,93,80,"$748,043.00","$1,484.00",19.00%,270,54.00%,2016
Isaias D. Enriquez,512,60,55,71,"$745,952.00","$1,457.00",12.00%,186,36.00%,2016
Erick Lopez,492,67,75,46,"$744,232.00","$1,513.00",14.00%,188,38.00%,2016
Carlos Montalvo,417,50,48,53,"$743,334.00","$1,783.00",12.00%,151,36.00%,2016
Brayan Pena,311,27,30,46,"$737,621.00","$2,372.00",9.00%,103,33.00%,2016
Ruby Gonzalez,362,44,40,45,"$736,624.00","$2,035.00",12.00%,129,36.00%,2016
Rosario Montanez,218,19,26,23,"$735,178.00","$3,372.00",9.00%,68,31.00%,2016
Alex Cortez,431,34,48,54,"$734,910.00","$1,705.00",8.00%,136,32.00%,2016
Jeremias Flores,395,46,64,65,"$733,131.00","$1,856.00",12.00%,175,44.00%,2016
Omar Moreno,248,18,28,22,"$716,660.00","$2,890.00",7.00%,68,27.00%,2016
Sebastian Saez,274,31,31,28,"$715,026.00","$2,610.00",11.00%,90,33.00%,2016
David Castillo,304,16,24,44,"$711,719.00","$2,341.00",5.00%,84,28.00%,2016
Wilfredo Corujo,426,37,30,57,"$701,667.00","$1,647.00",9.00%,124,29.00%,2016
Rajiv Maragh,106,12,20,13,"$700,548.00","$6,609.00",11.00%,45,42.00%,2016
Irvin O. Perez,262,20,25,40,"$700,511.00","$2,674.00",8.00%,85,32.00%,2016
Juan M. Gutierrez,332,62,53,53,"$699,411.00","$2,107.00",19.00%,168,51.00%,2016
Ricardo Mejias,292,46,40,34,"$694,044.00","$2,377.00",16.00%,120,41.00%,2016
Antioco Murgia,519,65,60,57,"$684,248.00","$1,318.00",13.00%,182,35.00%,2016
John Cruz,286,35,37,33,"$682,665.00","$2,387.00",12.00%,105,37.00%,2016
Nathan Haar,621,86,109,78,"$680,959.00","$1,097.00",14.00%,273,44.00%,2016
Ashley Castrenze,212,32,31,33,"$680,724.00","$3,211.00",15.00%,96,45.00%,2016
Jose Baez,393,40,65,63,"$680,224.00","$1,731.00",10.00%,168,43.00%,2016
Edwin Castro,460,83,80,75,"$679,747.00","$1,478.00",18.00%,238,52.00%,2016
Kirk Johnson,401,42,40,57,"$673,401.00","$1,679.00",10.00%,139,35.00%,2016
Clinton L. Potts,254,36,33,30,"$666,412.00","$2,624.00",14.00%,99,39.00%,2016
Dane Nelson,324,59,65,60,"$664,619.00","$2,051.00",18.00%,184,57.00%,2016
Luis Garcia,175,23,28,21,"$661,977.00","$3,783.00",13.00%,72,41.00%,2016
Guillermo Rodriguez,452,38,46,69,"$659,880.00","$1,460.00",8.00%,153,34.00%,2016
Kevin Navarro,537,83,72,83,"$659,628.00","$1,228.00",15.00%,238,44.00%,2016
Dick Cardenas,302,34,35,31,"$658,091.00","$2,179.00",11.00%,100,33.00%,2016
Francisco Giles,322,44,62,39,"$657,762.00","$2,043.00",14.00%,145,45.00%,2016
Christian Santiago Reyes,235,30,31,24,"$652,504.00","$2,777.00",13.00%,85,36.00%,2016
Kevin Roman,359,35,46,39,"$651,210.00","$1,814.00",10.00%,120,33.00%,2016
Sonny Leon,525,62,59,75,"$639,129.00","$1,217.00",12.00%,196,37.00%,2016
Emanuel De Diego,405,44,52,56,"$637,769.00","$1,575.00",11.00%,152,38.00%,2016
Lery Pinero,364,21,27,41,"$635,197.00","$1,745.00",6.00%,89,24.00%,2016
Kirk Paul LeBlanc,276,32,32,34,"$634,135.00","$2,298.00",12.00%,98,36.00%,2016
James McAleney,168,16,20,16,"$631,998.00","$3,762.00",10.00%,52,31.00%,2016
Wilfredo Rohena,315,48,55,58,"$630,769.00","$2,002.00",15.00%,161,51.00%,2016
Constantino Roman,348,42,36,45,"$624,752.00","$1,795.00",12.00%,123,35.00%,2016
Kevin J. Smith,458,33,42,58,"$622,822.00","$1,360.00",7.00%,133,29.00%,2016
Joe Musarro,465,45,70,41,"$614,198.00","$1,321.00",10.00%,156,34.00%,2016
Jose C. Caraballo,141,12,13,20,"$614,045.00","$4,355.00",9.00%,45,32.00%,2016
Vinnie Bednar,373,68,69,54,"$612,634.00","$1,642.00",18.00%,191,51.00%,2016
Jose Luis Zunino,369,50,51,62,"$612,091.00","$1,659.00",14.00%,163,44.00%,2016
Dennis Michael Collins,457,68,68,71,"$610,323.00","$1,335.00",15.00%,207,45.00%,2016
Elvis Trujillo,143,20,20,18,"$609,157.00","$4,260.00",14.00%,58,41.00%,2016
Jerry Villegas,409,34,48,54,"$604,661.00","$1,478.00",8.00%,136,33.00%,2016
Angel Serpa,212,19,24,33,"$604,348.00","$2,851.00",9.00%,76,36.00%,2016
David Romero Flores,140,18,21,18,"$603,737.00","$4,312.00",13.00%,57,41.00%,2016
Alexis X. Batista,326,40,31,43,"$603,150.00","$1,850.00",12.00%,114,35.00%,2016
E. T. Baird,138,24,25,21,"$597,579.00","$4,330.00",17.00%,70,51.00%,2016
Filemon T. Rodriguez,316,26,30,34,"$595,235.00","$1,884.00",8.00%,90,28.00%,2016
Ernesto Valdez-Jiminez,428,48,52,69,"$591,527.00","$1,382.00",11.00%,169,39.00%,2016
Luciano Hernandez,612,53,66,77,"$585,750.00",$957.00,9.00%,196,32.00%,2016
Erik McNeil,272,30,26,30,"$585,356.00","$2,152.00",11.00%,86,32.00%,2016
Chris Fackler,444,72,54,60,"$585,144.00","$1,318.00",16.00%,186,42.00%,2016
Eduardo O. Nunez,199,15,27,21,"$584,249.00","$2,936.00",8.00%,63,32.00%,2016
"Roberto Alvarado, Jr.",166,25,18,27,"$583,292.00","$3,514.00",15.00%,70,42.00%,2016
Christopher Husbands,330,84,61,47,"$582,841.00","$1,766.00",25.00%,192,58.00%,2016
Angel Ortega Stanley,498,66,71,90,"$582,772.00","$1,170.00",13.00%,227,46.00%,2016
Quincy Welch,156,49,26,19,"$582,716.00","$3,735.00",31.00%,94,60.00%,2016
"Hector L. Rosario, Jr.",295,39,33,37,"$582,286.00","$1,974.00",13.00%,109,37.00%,2016
Lauralea Glaser,229,24,32,29,"$581,969.00","$2,541.00",10.00%,85,37.00%,2016
Jose Angel Garcia,372,27,29,44,"$576,155.00","$1,549.00",7.00%,100,27.00%,2016
Shannon Beauregard,306,54,45,45,"$573,761.00","$1,875.00",18.00%,144,47.00%,2016
Alex M. Cruz,676,66,70,99,"$572,342.00",$847.00,10.00%,235,35.00%,2016
Ismael Eluid Mosqueira,313,33,34,40,"$569,265.00","$1,819.00",11.00%,107,34.00%,2016
Eduardo Gallardo,383,36,53,39,"$568,107.00","$1,483.00",9.00%,128,33.00%,2016
Fredy Peltroche,376,39,41,47,"$567,546.00","$1,509.00",10.00%,127,34.00%,2016
"Pedro L. Cotto, Jr.",180,28,22,22,"$558,636.00","$3,104.00",16.00%,72,40.00%,2016
Darius Thorpe,345,29,49,40,"$555,261.00","$1,609.00",8.00%,118,34.00%,2016
David Mello,314,25,25,25,"$551,171.00","$1,755.00",8.00%,75,24.00%,2016
Navin Mangalee,209,16,19,36,"$544,725.00","$2,606.00",8.00%,71,34.00%,2016
Odhair J. Mayta,283,30,36,36,"$544,524.00","$1,924.00",11.00%,102,36.00%,2016
Rohan R. Singh,419,48,62,74,"$544,341.00","$1,299.00",11.00%,184,44.00%,2016
Luis A. Batista,423,40,53,42,"$543,381.00","$1,285.00",9.00%,135,32.00%,2016
Rolando Aragon,383,20,37,42,"$542,750.00","$1,417.00",5.00%,99,26.00%,2016
Pedro M. Terrero,378,35,50,51,"$542,584.00","$1,435.00",9.00%,136,36.00%,2016
Jocelyne C. Gomez,195,32,26,18,"$542,375.00","$2,781.00",16.00%,76,39.00%,2016
Jansen Melancon,355,27,34,42,"$540,905.00","$1,524.00",8.00%,103,29.00%,2016
Shamaree Muir,299,40,48,41,"$540,492.00","$1,808.00",13.00%,129,43.00%,2016
Ivan Arellano,397,38,56,59,"$540,299.00","$1,361.00",10.00%,153,39.00%,2016
Sunny Singh,336,15,42,44,"$535,675.00","$1,594.00",4.00%,101,30.00%,2016
Enrique Garcia,441,49,50,60,"$533,022.00","$1,209.00",11.00%,159,36.00%,2016
Jake Barton,337,47,46,53,"$532,917.00","$1,581.00",14.00%,146,43.00%,2016
Simon P. Husbands,239,12,21,22,"$528,959.00","$2,213.00",5.00%,55,23.00%,2016
Mario Rodriguez,342,23,26,27,"$526,351.00","$1,539.00",7.00%,76,22.00%,2016
Carlos Marrero,323,32,34,33,"$525,854.00","$1,628.00",10.00%,99,31.00%,2016
"Samuel Camacho, Jr.",163,11,10,28,"$524,231.00","$3,216.00",7.00%,49,30.00%,2016
Carlos Olivero,204,22,25,29,"$514,690.00","$2,523.00",11.00%,76,37.00%,2016
Inoel Beato,150,18,18,17,"$511,926.00","$3,413.00",12.00%,53,35.00%,2016
"Javier M. Felix, Jr.",164,22,8,25,"$510,884.00","$3,115.00",13.00%,55,34.00%,2016
Brandon Whitacre,523,48,64,62,"$500,309.00",$957.00,9.00%,174,33.00%,2016
Pedro A. Rodriguez,230,38,34,26,"$499,696.00","$2,173.00",17.00%,98,43.00%,2016
Irving Orozco,257,28,36,44,"$498,447.00","$1,939.00",11.00%,108,42.00%,2016
Ramon Guce,304,80,38,39,"$498,310.00","$1,639.00",26.00%,157,52.00%,2016
Xavier Perez,258,17,20,29,"$497,437.00","$1,928.00",7.00%,66,26.00%,2016
Marco A. Ccamaque,474,34,35,47,"$495,497.00","$1,045.00",7.00%,116,24.00%,2016
Wesley Ho,276,37,40,38,"$494,754.00","$1,793.00",13.00%,115,42.00%,2016
Vicente Gudiel,176,19,20,32,"$493,845.00","$2,806.00",11.00%,71,40.00%,2016
Carlos L. Castro,279,31,39,32,"$493,057.00","$1,767.00",11.00%,102,37.00%,2016
Antonio Whitehall,260,68,46,35,"$492,470.00","$1,894.00",26.00%,149,57.00%,2016
Leonel Camacho-Flores,389,50,68,51,"$491,758.00","$1,264.00",13.00%,169,43.00%,2016
Matthew Rispoli,181,23,18,20,"$491,252.00","$2,714.00",13.00%,61,34.00%,2016
"Juan F. Molina, Jr.",343,63,56,42,"$490,349.00","$1,430.00",18.00%,161,47.00%,2016
Alfredo Sigala,466,30,40,51,"$489,369.00","$1,050.00",6.00%,121,26.00%,2016
Silvino Morales,206,34,33,33,"$477,005.00","$2,316.00",17.00%,100,49.00%,2016
Heribert Naherd Martinez,244,13,28,30,"$475,184.00","$1,947.00",5.00%,71,29.00%,2016
Ricardo Jaime,219,27,21,29,"$472,680.00","$2,158.00",12.00%,77,35.00%,2016
Wilkin Ortiz,526,43,55,70,"$471,487.00",$896.00,8.00%,168,32.00%,2016
Ignacio Puglisi,167,14,12,21,"$469,483.00","$2,811.00",8.00%,47,28.00%,2016
Jake L. Olesiak,391,73,62,65,"$468,219.00","$1,197.00",19.00%,200,51.00%,2016
Travis Cunningham,274,33,50,49,"$464,892.00","$1,697.00",12.00%,132,48.00%,2016
Jose Riquelme,264,30,25,28,"$464,155.00","$1,758.00",11.00%,83,31.00%,2016
Eddie Jurado,418,53,54,50,"$463,856.00","$1,110.00",13.00%,157,38.00%,2016
Yamil Rosario,313,30,23,33,"$462,649.00","$1,478.00",10.00%,86,27.00%,2016
Emilio Flores,353,21,38,34,"$462,564.00","$1,310.00",6.00%,93,26.00%,2016
James A. Bielby,418,47,66,61,"$457,489.00","$1,094.00",11.00%,174,42.00%,2016
Rico Flores,329,25,35,41,"$455,961.00","$1,386.00",8.00%,101,31.00%,2016
Jose Andres Guerrero,335,24,35,35,"$455,826.00","$1,361.00",7.00%,94,28.00%,2016
Diego Fernando Gomez,221,25,30,21,"$451,621.00","$2,044.00",11.00%,76,34.00%,2016
Eder Luis Martinez,248,26,40,41,"$451,230.00","$1,819.00",10.00%,107,43.00%,2016
Kali Francois,199,20,18,22,"$448,118.00","$2,252.00",10.00%,60,30.00%,2016
Michelle Rainford,115,17,8,16,"$446,992.00","$3,887.00",15.00%,41,36.00%,2016
David G. Lopez,194,26,27,29,"$446,118.00","$2,300.00",13.00%,82,42.00%,2016
Joe M. Johnson,139,12,14,15,"$443,512.00","$3,191.00",9.00%,41,29.00%,2016
Skyler White Shield,283,29,30,41,"$439,450.00","$1,553.00",10.00%,100,35.00%,2016
Cindy Murphy,239,18,30,29,"$439,309.00","$1,838.00",8.00%,77,32.00%,2016
Juan Crawford,279,17,32,31,"$437,703.00","$1,569.00",6.00%,80,29.00%,2016
Ernesto Oro,198,24,30,30,"$431,816.00","$2,181.00",12.00%,84,42.00%,2016
Justin Shepherd,172,36,18,27,"$431,787.00","$2,510.00",21.00%,81,47.00%,2016
Benny C. Landeros,318,29,39,28,"$431,256.00","$1,356.00",9.00%,96,30.00%,2016
Jeffrey Skerrett,234,26,30,31,"$430,991.00","$1,842.00",11.00%,87,37.00%,2016
Wilfredo Santiago,322,31,27,30,"$427,959.00","$1,329.00",10.00%,88,27.00%,2016
Noel Vigil,329,38,33,34,"$425,455.00","$1,293.00",12.00%,105,32.00%,2016
Uriel A. Lopez,343,49,50,51,"$425,134.00","$1,239.00",14.00%,150,44.00%,2016
Felix E. Pinero,153,13,16,11,"$424,334.00","$2,773.00",8.00%,40,26.00%,2016
Joel Sone,353,22,45,55,"$422,174.00","$1,196.00",6.00%,122,35.00%,2016
"Victor Manuel Urieta, Jr.",405,29,32,47,"$421,457.00","$1,041.00",7.00%,108,27.00%,2016
Francisco Garcia,196,18,31,26,"$417,269.00","$2,129.00",9.00%,75,38.00%,2016
Manoel R. Cruz,197,29,30,29,"$413,329.00","$2,098.00",15.00%,88,45.00%,2016
Ronald Richard,440,35,43,64,"$409,330.00",$930.00,8.00%,142,32.00%,2016
Gustavo Larrosa,363,18,28,41,"$409,072.00","$1,127.00",5.00%,87,24.00%,2016
Ricardo Barrios,261,56,49,35,"$407,838.00","$1,563.00",21.00%,140,54.00%,2016
Joel Cruz,261,33,27,29,"$403,021.00","$1,544.00",13.00%,89,34.00%,2016
David Rosario,336,52,62,44,"$399,631.00","$1,189.00",15.00%,158,47.00%,2016
Josue Arce,77,16,9,4,"$398,394.00","$5,174.00",21.00%,29,38.00%,2016
J. M. Rohena,165,33,31,24,"$397,524.00","$2,409.00",20.00%,88,53.00%,2016
Michael G. Ziegler,311,50,52,50,"$397,346.00","$1,278.00",16.00%,152,49.00%,2016
Ever Argueta,153,13,13,17,"$396,795.00","$2,593.00",8.00%,43,28.00%,2016
Kassie Guglielmino,433,81,74,73,"$395,337.00",$913.00,19.00%,228,53.00%,2016
Nik G. Goodwin,156,12,22,24,"$392,190.00","$2,514.00",8.00%,58,37.00%,2016
Adam Bowman,262,13,12,17,"$391,502.00","$1,494.00",5.00%,42,16.00%,2016
"Miguel T. Fuentes, Jr.",233,30,33,33,"$387,386.00","$1,663.00",13.00%,96,41.00%,2016
Azael De Leon,404,40,56,53,"$385,735.00",$955.00,10.00%,149,37.00%,2016
Arienne Cox,214,17,23,36,"$384,603.00","$1,797.00",8.00%,76,36.00%,2016
Karlo Lopez,425,39,44,55,"$382,374.00",$900.00,9.00%,138,32.00%,2016
Junior Inirio,237,23,21,21,"$382,367.00","$1,613.00",10.00%,65,27.00%,2016
Chantal Sutherland,122,13,11,16,"$381,734.00","$3,129.00",11.00%,40,33.00%,2016
Chya Johnstone,260,22,19,22,"$380,571.00","$1,464.00",8.00%,63,24.00%,2016
Marlon St. Julien,254,15,24,28,"$379,217.00","$1,493.00",6.00%,67,26.00%,2016
Mike Allen,292,23,35,30,"$377,292.00","$1,292.00",8.00%,88,30.00%,2016
Samy Camacho,255,24,29,34,"$376,505.00","$1,476.00",9.00%,87,34.00%,2016
Carlos J. Hernandez,222,16,14,42,"$372,632.00","$1,679.00",7.00%,72,32.00%,2016
David D. Amiss,143,18,15,23,"$371,995.00","$2,601.00",13.00%,56,39.00%,2016
Patrick A. Valenzuela,150,16,13,31,"$369,757.00","$2,465.00",11.00%,60,40.00%,2016
Josean G. Ramirez,112,12,14,10,"$367,969.00","$3,285.00",11.00%,36,32.00%,2016
Gerardo Corrales,174,15,26,30,"$366,650.00","$2,107.00",9.00%,71,41.00%,2016
Alexis Ortiz,287,26,31,40,"$366,219.00","$1,276.00",9.00%,97,34.00%,2016
Hector M. Santiago,91,9,12,8,"$361,295.00","$3,970.00",10.00%,29,32.00%,2016
Ramon Maldonado,343,24,35,35,"$360,116.00","$1,050.00",7.00%,94,27.00%,2016
Eric Camacho,68,15,8,9,"$353,437.00","$5,198.00",22.00%,32,47.00%,2016
Eriluis Vaz,80,9,15,11,"$352,545.00","$4,407.00",11.00%,35,44.00%,2016
Ricardo Martinez,389,57,51,53,"$352,200.00",$905.00,15.00%,161,41.00%,2016
Shannon Uske,147,15,15,17,"$348,114.00","$2,368.00",10.00%,47,32.00%,2016
Cristobal Herrera,252,21,31,27,"$347,468.00","$1,379.00",8.00%,79,31.00%,2016
Gilberto Ramos Delgado,266,19,22,41,"$346,536.00","$1,303.00",7.00%,82,31.00%,2016
Alex O. Solis,35,6,4,5,"$344,009.00","$9,829.00",17.00%,15,43.00%,2016
Jacob Radosevich,186,19,22,22,"$340,671.00","$1,832.00",10.00%,63,34.00%,2016
Steve D. Hamilton,138,6,19,14,"$339,556.00","$2,461.00",4.00%,39,28.00%,2016
Chelsey Keiser,266,19,26,30,"$338,843.00","$1,274.00",7.00%,75,28.00%,2016
Kaylia Albright,228,19,19,28,"$338,494.00","$1,485.00",8.00%,66,29.00%,2016
Christian J. Navarro,240,29,27,32,"$337,552.00","$1,406.00",12.00%,88,37.00%,2016
Jose L. Verenzuela,102,11,17,14,"$337,368.00","$3,308.00",11.00%,42,41.00%,2016
Armando Martinez,393,45,57,38,"$336,347.00",$856.00,11.00%,140,36.00%,2016
Brice Blanc,94,10,14,12,"$335,815.00","$3,573.00",11.00%,36,38.00%,2016
Efrain Hernandez,273,29,32,33,"$335,015.00","$1,227.00",11.00%,94,34.00%,2016
Brandon Chance Boulanger,187,14,16,16,"$333,611.00","$1,784.00",7.00%,46,25.00%,2016
Alfredo Triana Jr.,240,24,28,31,"$333,224.00","$1,388.00",10.00%,83,35.00%,2016
Ivan F. Perez,264,22,18,32,"$332,772.00","$1,261.00",8.00%,72,27.00%,2016
Jake Samuels,430,64,59,75,"$332,651.00",$774.00,15.00%,198,46.00%,2016
Jesse A. Lantz,184,15,18,20,"$332,490.00","$1,807.00",8.00%,53,29.00%,2016
Pablo Fragoso,98,9,16,12,"$331,714.00","$3,385.00",9.00%,37,38.00%,2016
Alfredo Clemente,220,25,29,38,"$329,730.00","$1,499.00",11.00%,92,42.00%,2016
Omar Herrera Santos,231,38,42,32,"$326,215.00","$1,412.00",16.00%,112,48.00%,2016
Jose L. Alvarez,117,17,10,13,"$325,475.00","$2,782.00",15.00%,40,34.00%,2016
Rodrigo Vergara,355,25,33,41,"$324,438.00",$914.00,7.00%,99,28.00%,2016
Andre Shivnarine Worrie,200,11,17,27,"$324,038.00","$1,620.00",6.00%,55,28.00%,2016
Danny Sorenson,236,17,20,33,"$323,010.00","$1,369.00",7.00%,70,30.00%,2016
Andre R. Ramgeet,189,17,24,14,"$322,694.00","$1,707.00",9.00%,55,29.00%,2016
Bethany Taylor,176,16,22,20,"$320,135.00","$1,819.00",9.00%,58,33.00%,2016
Austin B. Solis,199,12,20,23,"$317,797.00","$1,597.00",6.00%,55,28.00%,2016
Javier Tavares,249,43,44,38,"$316,496.00","$1,271.00",17.00%,125,50.00%,2016
Jorge M. Perez,252,13,23,25,"$315,429.00","$1,252.00",5.00%,61,24.00%,2016
Jose M. Rivera,356,54,45,57,"$314,361.00",$883.00,15.00%,156,44.00%,2016
Joe A. Crispin,251,21,32,42,"$312,626.00","$1,246.00",8.00%,95,38.00%,2016
Anardis Rodriguez,413,51,58,50,"$311,847.00",$755.00,12.00%,159,38.00%,2016
Sasha Ortiz,273,48,46,40,"$311,743.00","$1,142.00",18.00%,134,49.00%,2016
Yuri Yaranga,365,25,26,38,"$310,240.00",$850.00,7.00%,89,24.00%,2016
Carlos L. Marquez,175,14,13,19,"$309,195.00","$1,767.00",8.00%,46,26.00%,2016
Adolfo A. Morales,183,36,24,26,"$302,837.00","$1,655.00",20.00%,86,47.00%,2016
Kayla Pizarro,272,39,36,50,"$301,905.00","$1,110.00",14.00%,125,46.00%,2016
Joseph Schneider,250,22,18,23,"$300,388.00","$1,202.00",9.00%,63,25.00%,2016
Melanie Pinto,151,32,29,17,"$300,141.00","$1,988.00",21.00%,78,52.00%,2016
Gabriel Suarez,166,19,22,15,"$294,077.00","$1,772.00",11.00%,56,34.00%,2016
"John A. Soto, Jr.",235,15,26,30,"$294,007.00","$1,251.00",6.00%,71,30.00%,2016
Keiber J. Coa,257,16,33,32,"$292,085.00","$1,137.00",6.00%,81,32.00%,2016
David Cardoso,171,22,19,24,"$291,238.00","$1,703.00",13.00%,65,38.00%,2016
Jesiere Medina,151,21,20,17,"$291,135.00","$1,928.00",14.00%,58,38.00%,2016
Luis D. Rivera,286,19,28,42,"$289,378.00","$1,012.00",7.00%,89,31.00%,2016
Jason R. Eads,200,20,27,25,"$288,352.00","$1,442.00",10.00%,72,36.00%,2016
Freddy Jose Manrrique,199,17,22,18,"$288,069.00","$1,448.00",9.00%,57,29.00%,2016
Larry Taylor,155,17,12,17,"$284,216.00","$1,834.00",11.00%,46,30.00%,2016
Juan J. L. Velez,304,13,12,29,"$282,388.00",$929.00,4.00%,54,18.00%,2016
Renaldo Cumberbatch,247,29,28,49,"$281,931.00","$1,141.00",12.00%,106,43.00%,2016
Paul M. Nolan,105,12,16,8,"$281,342.00","$2,679.00",11.00%,36,34.00%,2016
"Luis J. Martinez, Jr.",290,31,33,22,"$279,484.00",$964.00,11.00%,86,30.00%,2016
Eddie Zuniga,343,22,29,45,"$276,672.00",$807.00,6.00%,96,28.00%,2016
Aimee D. Auger,237,19,27,28,"$276,394.00","$1,166.00",8.00%,74,31.00%,2016
Renzo Diaz,310,16,24,27,"$275,824.00",$890.00,5.00%,67,22.00%,2016
Jorge Rosales,356,34,29,31,"$274,205.00",$770.00,10.00%,94,26.00%,2016
Luis Hiraldo,168,17,14,15,"$274,177.00","$1,632.00",10.00%,46,27.00%,2016
Luis H. Rodriguez,194,31,16,28,"$269,087.00","$1,387.00",16.00%,75,39.00%,2016
Misael Molina,379,41,42,59,"$268,567.00",$709.00,11.00%,142,37.00%,2016
Albert Dussette,286,17,21,25,"$268,055.00",$937.00,6.00%,63,22.00%,2016
Julio A. Garcia,32,11,7,6,"$267,621.00","$8,363.00",34.00%,24,75.00%,2016
Ted D. Gondron,122,28,23,17,"$267,153.00","$2,190.00",23.00%,68,56.00%,2016
Erin M. Walker,231,21,19,18,"$265,816.00","$1,151.00",9.00%,58,25.00%,2016
Ronald Hisby,238,15,21,29,"$265,635.00","$1,116.00",6.00%,65,27.00%,2016
Juan P. Vargas,136,10,12,16,"$264,624.00","$1,946.00",7.00%,38,28.00%,2016
Erick Cruz,201,12,13,14,"$264,616.00","$1,316.00",6.00%,39,19.00%,2016
Winston R. Kay,186,10,9,14,"$264,288.00","$1,421.00",5.00%,33,18.00%,2016
Damario Bynoe,210,27,27,25,"$264,287.00","$1,259.00",13.00%,79,38.00%,2016
Tyler Woodley,223,10,22,18,"$264,097.00","$1,184.00",4.00%,50,22.00%,2016
Joseph J. Steiner,125,19,22,10,"$263,217.00","$2,106.00",15.00%,51,41.00%,2016
Ashley L. Kauffman,106,19,9,14,"$261,561.00","$2,468.00",18.00%,42,40.00%,2016
Alcibiades C. Cortez,179,16,10,16,"$261,475.00","$1,461.00",9.00%,42,23.00%,2016
Jose Arturo Gutierrez,183,22,17,32,"$260,887.00","$1,426.00",12.00%,71,39.00%,2016
Francisco Escalera Perez,215,17,28,24,"$259,902.00","$1,209.00",8.00%,69,32.00%,2016
Richard Mairs,270,28,49,46,"$259,899.00",$963.00,10.00%,123,46.00%,2016
David Delgado,193,9,17,25,"$258,980.00","$1,342.00",5.00%,51,26.00%,2016
Hugo Herrera,262,20,37,24,"$258,900.00",$988.00,8.00%,81,31.00%,2016
Hugo Sanchez,97,14,16,8,"$258,615.00","$2,666.00",14.00%,38,39.00%,2016
Russell Vicchrilli,150,24,24,24,"$258,387.00","$1,723.00",16.00%,72,48.00%,2016
